Date,O,H,L,C,V
2022-02-02,80.23,80.8,80.13,80.54,8503
2022-02-03,95.0,95.0,80.2,80.43,30420
2022-02-04,82.99,82.99,79.9,80.1,1298
2022-02-07,80.0,80.0,79.05,79.29,5442
2022-02-08,78.9,80.25,78.0,78.6,126904
2022-02-09,79.89,93.0,79.2,80.09,4369
2022-02-10,80.2,80.9,80.0,80.9,15740
2022-02-11,80.8,80.8,79.7,79.98,157139
2022-02-14,80.19,80.19,77.02,77.21,15105
2022-02-15,78.49,93.0,76.46,78.79,80902
2022-02-16,79.99,79.99,78.74,78.92,1666
2022-02-17,79.15,79.5,78.66,78.97,4139
2022-02-18,78.62,79.01,78.19,78.24,2567
2022-02-21,77.96,78.33,77.32,77.59,79802
2022-02-22,75.99,77.18,75.9,76.96,10715
2022-02-23,78.48,78.5,77.02,77.25,3247
2022-02-24,75.7,75.7,73.35,73.48,38738
2022-02-25,75.89,76.15,74.63,75.99,6898
2022-02-28,75.19,77.19,74.7,77.09,7384
2022-03-02,76.62,77.62,76.51,76.7,91012
2022-03-03,78.23,78.44,76.1,76.41,3538
2022-03-04,75.65,75.95,74.5,74.78,11073
2022-03-07,73.51,73.93,72.79,73.77,5936
2022-03-08,73.65,74.06,72.51,74.0,86543
2022-03-09,74.3,75.55,74.3,75.44,1361
2022-03-10,76.95,76.95,76.16,76.47,3593
2022-03-11,76.34,77.25,76.34,77.24,57395
2022-03-14,78.49,78.49,76.52,77.3,1133
2022-03-15,77.4,77.55,76.12,76.52,8194
2022-03-16,77.3,78.11,77.23,77.96,4696
2022-03-17,78.61,79.34,78.57,79.34,1593
2022-03-21,80.95,80.95,79.07,79.11,4146
2022-03-22,79.65,79.65,78.25,79.57,47148
2022-03-23,79.65,80.15,79.25,79.6,4091
2022-03-24,79.8,79.97,79.78,79.97,1056
2022-03-25,80.21,80.21,78.8,79.4,183354
2022-03-28,79.44,79.53,78.9,79.47,104185
2022-03-29,79.52,80.12,79.52,80.11,6545
2022-03-30,80.75,80.75,79.84,80.09,535
2022-03-31,80.05,80.17,79.79,79.9,7837
2022-04-01,79.92,80.44,79.92,80.27,8751
2022-04-04,82.0,82.0,80.55,81.61,12865
2022-04-05,81.85,82.63,81.85,82.38,106004
2022-04-06,82.16,82.6,82.09,82.58,8502
2022-04-07,82.56,82.78,81.9,81.91,3740
2022-04-08,82.36,83.1,82.16,82.76,13686
2022-04-11,82.91,83.28,82.91,83.0,4847
2022-04-12,84.7,84.7,81.25,81.77,14952
2022-04-13,82.08,82.49,81.64,81.86,7535
2022-04-18,81.38,81.8,81.0,81.7,7497
2022-04-19,82.27,82.59,80.19,80.9,269001
2022-04-20,81.3,82.23,81.29,81.58,9935
2022-04-21,82.11,82.83,82.02,82.57,9187
2022-04-22,82.0,82.5,81.52,81.77,8430
2022-04-25,82.98,82.98,79.8,79.97,8167
2022-04-26,81.11,81.41,80.95,81.19,8826
2022-04-27,80.98,81.03,80.4,80.62,3257
2022-04-28,81.25,81.73,80.83,81.48,154927
2022-04-29,81.91,82.04,80.59,80.91,3497
2022-05-02,80.49,80.78,80.0,80.61,4322
2022-05-04,81.98,81.98,78.34,78.55,3928
2022-05-05,79.1,79.77,78.51,78.69,1127
2022-05-06,77.52,77.63,76.8,77.23,19103
2022-05-09,75.7,76.62,75.53,76.11,104697
2022-05-10,76.35,76.35,74.6,74.89,3230
2022-05-12,74.0,74.0,72.55,72.93,2992
2022-05-13,74.0,74.82,73.27,73.4,1647
2022-05-16,73.89,74.45,73.67,74.29,669
2022-05-17,74.51,76.36,74.51,76.34,791
2022-05-18,76.58,76.89,76.1,76.41,2780
2022-05-19,74.98,75.18,74.16,74.42,1294
2022-05-20,75.54,76.55,75.54,76.55,1111
2022-05-23,76.4,76.66,75.34,75.58,4672
2022-05-24,75.81,75.81,75.0,75.0,2955
2022-05-25,75.45,75.5,73.87,74.05,2632
2022-05-26,74.35,74.68,73.01,74.68,187922
2022-05-27,75.2,75.38,74.46,75.32,399
2022-05-30,77.28,77.28,75.8,76.42,2536
2022-05-31,76.56,77.31,76.56,77.06,10397
2022-06-01,78.48,78.48,76.75,77.02,2953
2022-06-02,78.88,78.88,76.47,77.1,3573
2022-06-03,77.4,77.43,76.02,76.3,1176
2022-06-06,76.1,76.26,75.55,76.21,3014
2022-06-07,75.65,75.86,75.38,75.75,1345
2022-06-08,75.6,75.97,75.19,75.53,246
2022-06-09,75.48,75.64,75.21,75.64,1065
2022-06-10,75.02,75.34,74.83,75.19,95243
2022-06-13,75.68,75.68,73.42,73.64,2548
2022-06-14,73.73,74.08,73.14,73.14,109928
2022-06-15,73.75,73.77,73.39,73.53,2492
2022-06-16,74.13,74.36,71.75,71.8,3874
2022-06-17,71.41,71.68,70.81,71.18,5779
2022-06-20,72.88,72.88,69.56,69.79,5586
2022-06-21,70.48,71.93,70.48,71.84,2619
2022-06-22,71.42,71.42,70.23,70.47,3760
2022-06-23,70.8,71.76,70.76,71.73,3075
2022-06-24,73.78,73.78,72.26,72.78,331
2022-06-27,73.98,73.98,73.3,73.3,2430
2022-06-28,74.98,74.98,72.96,73.8,1713
2022-06-29,73.21,73.95,72.98,73.8,61087
2022-06-30,78.25,78.25,73.12,73.17,649
2022-07-01,73.0,73.28,72.3,73.18,1416
2022-07-04,73.17,73.52,72.51,73.51,3506
2022-07-05,73.8,74.23,73.42,73.51,1508
2022-07-06,73.8,74.58,73.44,74.43,992
2022-07-07,74.93,75.59,74.85,75.39,1118
2022-07-08,76.07,76.07,75.33,75.63,1037
2022-07-11,75.29,76.38,75.18,76.03,51151
2022-07-12,75.89,76.09,75.32,75.62,716
2022-07-13,75.9,76.17,75.53,75.9,187
2022-07-14,76.03,76.38,75.58,76.07,240
2022-07-15,76.39,76.6,76.19,76.41,497
2022-07-18,77.27,77.44,77.0,77.14,2180
2022-07-19,77.38,77.86,77.25,77.69,1373
