Date,Open,High,Low,Close,Volume
2013-07-17,174.0,174.0,165.3,166.0,115310.0
2013-07-18,157.7,165.0,157.7,164.85,22149.0
2013-07-19,160.0,161.8,156.65,156.65,28708.0
2013-07-22,150.0,155.0,148.85,149.6,11739.0
2013-07-23,142.5,147.0,142.15,144.55,9163.0
2013-07-24,137.5,144.95,137.5,142.0,3964.0
2013-07-25,135.15,139.0,134.9,135.65,12209.0
2013-07-26,128.9,142.4,128.9,142.4,5735.0
2013-07-29,135.5,149.5,135.5,141.4,23956.0
2013-07-30,136.0,148.45,135.0,146.0,26174.0
2013-07-31,140.0,164.9,131.0,154.2,14136.0
2013-08-01,158.8,164.95,155.0,161.35,19948.0
2013-08-02,163.0,172.0,155.0,155.35,38303.0
2013-08-05,155.0,164.0,152.15,158.75,29410.0
2013-08-06,153.0,160.0,130.25,147.5,12462.0
2013-08-07,145.0,152.0,144.0,147.35,18507.0
2013-08-08,141.1,154.4,141.0,144.05,20670.0
2013-08-12,145.0,153.7,143.25,144.4,11958.0
2013-08-13,137.25,153.8,137.25,148.25,15162.0
2013-08-14,147.25,153.9,147.25,152.4,10550.0
2013-08-16,152.4,152.4,142.5,143.55,13893.0
2013-08-19,142.0,147.0,137.0,139.6,6607.0
2013-08-20,138.0,145.0,136.05,139.55,29038.0
2013-08-21,140.1,143.75,138.25,139.0,24666.0
2013-08-22,127.0,140.3,127.0,136.5,9676.0
2013-08-23,135.1,137.0,128.0,130.8,40028.0
2013-08-26,132.0,139.7,130.0,135.9,12983.0
2013-08-27,132.0,133.0,130.1,132.15,2790.0
2013-08-28,131.9,135.25,121.5,133.05,22909.0
2013-08-29,133.05,133.05,127.0,130.15,1845.0
2013-08-30,130.0,131.0,126.0,127.0,1972.0
2013-09-02,125.4,129.95,125.1,126.2,1560.0
2013-09-03,125.0,127.9,121.0,124.55,2057.0
2013-09-04,124.5,133.85,116.0,125.9,8762.0
2013-09-05,125.0,129.0,122.05,125.35,2044.0
2013-09-06,125.0,125.0,121.1,123.3,3905.0
2013-09-10,128.95,130.8,121.0,129.25,7865.0
2013-09-11,122.5,128.5,122.5,125.45,5045.0
2013-09-12,124.15,135.0,119.0,124.75,15066.0
2013-09-13,124.0,127.65,123.1,124.05,1443.0
2013-09-16,123.7,126.7,120.05,121.6,2572.0
2013-09-17,118.05,123.0,117.6,119.0,2461.0
2013-09-18,124.0,124.0,116.1,118.6,2537.0
2013-09-19,120.0,122.0,119.5,120.55,3504.0
2013-09-20,120.0,121.75,116.0,118.15,2785.0
2013-09-23,111.0,118.9,111.0,115.75,3357.0
2013-09-24,111.5,126.0,107.05,118.1,11676.0
2013-09-25,113.0,118.75,113.0,114.2,2699.0
2013-09-26,109.0,121.0,109.0,119.85,13875.0
2013-09-27,116.6,120.0,115.0,116.9,2520.0
2013-09-30,113.0,117.0,110.0,111.75,3021.0
2013-10-01,111.25,116.0,105.0,107.95,28351.0
2013-10-03,110.0,117.9,108.05,116.55,94015.0
2013-10-04,119.0,121.85,110.25,111.55,157550.0
2013-10-07,113.7,116.0,111.0,111.6,15076.0
2013-10-08,112.0,114.8,111.0,111.15,6239.0
2013-10-09,110.05,113.55,110.0,110.2,14972.0
2013-10-10,112.8,112.8,110.0,110.05,4520.0
2013-10-11,112.8,113.9,110.0,111.15,8133.0
2013-10-14,112.0,112.0,110.0,110.0,10359.0
2013-10-15,109.3,109.3,101.15,105.15,17190.0
2013-10-17,103.6,106.7,101.65,103.4,5102.0
2013-10-18,103.1,110.0,102.15,108.1,23939.0
2013-10-21,110.0,111.0,102.1,104.4,21496.0
2013-10-22,104.0,106.8,103.0,105.2,9343.0
2013-10-23,104.5,106.8,102.6,104.25,13051.0
2013-10-24,104.2,106.0,101.3,102.1,17100.0
2013-10-25,101.1,105.0,100.5,103.55,22939.0
2013-10-28,101.55,104.0,101.0,102.65,5021.0
2013-10-29,101.65,103.5,101.4,101.75,3502.0
2013-10-30,101.65,103.0,101.65,102.1,3875.0
2013-10-31,100.05,103.5,100.05,101.25,5728.0
2013-11-01,101.0,101.75,97.5,98.2,8579.0
2013-11-03,99.5,101.0,98.0,99.05,1305.0
2013-11-05,98.1,101.0,95.05,97.9,4246.0
2013-11-06,98.0,99.7,97.15,98.2,3210.0
2013-11-07,98.0,98.0,94.8,95.25,4667.0
2013-11-08,96.0,96.0,90.05,92.15,4797.0
2013-11-11,94.9,94.9,88.15,89.05,7367.0
2013-11-12,88.7,92.6,80.7,84.5,7817.0
2013-11-13,84.0,84.0,81.0,81.6,3926.0
2013-11-14,81.55,84.95,81.55,83.8,2759.0
2013-11-18,83.0,84.0,82.05,82.7,2941.0
2013-11-19,81.75,82.9,80.25,80.5,11549.0
