Date,O,H,L,C,V
2022-01-25,119.3,119.3,108.05,115.77,39629
2022-01-27,118.0,118.0,113.19,114.37,22451
2022-01-28,116.1,118.0,115.25,115.38,20173
2022-01-31,118.0,118.98,116.0,117.42,23694
2022-02-01,120.4,120.4,115.6,116.64,11923
2022-02-02,116.5,120.75,116.5,116.83,28473
2022-02-03,118.98,120.5,115.65,117.43,32903
2022-02-04,119.49,119.49,115.8,115.94,23542
2022-02-07,115.94,117.98,113.63,114.42,27206
2022-02-08,114.6,115.9,112.15,114.15,29365
2022-02-09,116.7,116.9,114.6,116.56,24972
2022-02-10,116.56,119.44,115.88,116.98,21435
2022-02-11,116.98,116.98,115.02,115.84,29216
2022-02-14,116.79,116.79,111.05,111.26,72674
2022-02-15,112.95,115.48,110.0,115.14,23987
2022-02-16,118.94,118.94,114.6,115.29,10072
2022-02-17,114.68,116.81,114.68,115.18,15044
2022-02-18,112.9,116.0,112.9,114.54,9828
2022-02-21,116.49,116.49,112.1,114.13,16821
2022-02-22,111.85,120.3,111.85,114.12,56957
2022-02-23,115.78,115.78,112.0,113.69,12634
2022-02-24,110.0,113.45,106.71,109.08,87673
2022-02-25,112.45,113.9,109.17,109.54,13486
2022-02-28,109.54,110.93,106.92,109.54,9809
2022-03-02,110.98,110.98,105.12,105.53,51051
2022-03-03,107.49,107.49,102.8,103.12,44724
2022-03-04,103.0,103.0,99.0,99.71,84679
2022-03-07,99.75,104.69,95.99,101.34,59027
2022-03-08,100.0,100.0,92.01,96.07,219478
2022-03-09,96.92,99.0,96.02,98.43,36745
2022-03-10,102.41,104.1,98.9,100.52,76654
2022-03-11,101.39,101.39,99.4,100.32,35037
2022-03-14,101.79,101.79,98.75,101.19,21254
2022-03-15,100.8,103.56,99.0,101.82,58945
2022-03-16,103.0,104.5,101.03,103.08,21433
2022-03-17,103.08,106.31,103.08,105.62,44284
2022-03-21,106.0,106.78,104.23,104.98,24507
2022-03-22,108.5,108.5,103.4,105.75,29116
2022-03-23,106.95,106.95,103.85,105.06,28853
2022-03-24,106.0,106.41,102.9,104.64,24842
2022-03-25,105.66,105.66,102.63,104.03,18551
2022-03-28,104.03,105.48,102.6,104.3,9429
2022-03-29,104.3,105.5,103.37,104.23,91176
2022-03-30,105.5,106.1,105.12,105.44,29619
2022-03-31,105.13,106.3,104.76,105.54,13139
2022-04-01,108.95,108.95,104.76,106.88,18475
2022-04-04,107.7,108.52,106.6,108.17,17790
2022-04-05,108.35,110.25,108.2,110.06,18663
2022-04-06,113.9,113.9,108.07,109.12,20384
2022-04-07,109.12,109.89,108.23,108.8,8492
2022-04-08,109.8,109.82,108.1,109.16,8227
2022-04-11,109.74,109.74,108.12,109.15,14024
2022-04-12,106.33,111.68,106.33,108.23,6931
2022-04-13,111.75,111.75,107.5,107.58,15586
2022-04-18,106.98,108.0,106.94,107.62,11938
2022-04-19,107.03,109.0,105.37,106.97,20318
2022-04-20,107.94,109.0,107.1,108.74,39092
2022-04-21,112.0,112.0,108.05,110.87,20249
2022-04-22,109.08,111.47,109.08,110.2,10472
