Date,Open,High,Low,Close,Volume
2015-12-01,13.0,13.65,13.0,13.65,60.0
2015-12-02,14.3,14.3,14.3,14.3,50.0
2015-12-03,15.0,15.0,15.0,15.0,1200.0
2015-12-07,15.75,15.75,15.75,15.75,240.0
2015-12-09,16.5,16.5,16.5,16.5,100.0
2015-12-10,17.3,17.3,17.3,17.3,50.0
2015-12-11,18.15,18.15,18.15,18.15,850.0
2015-12-14,19.05,19.05,19.05,19.05,450.0
2015-12-15,22.85,22.85,20.55,22.85,11156.0
2015-12-16,27.0,27.4,25.0,27.4,3053.0
2015-12-17,30.1,30.1,30.1,30.1,2830.0
2015-12-18,33.1,33.1,30.0,33.1,37268.0
2015-12-21,34.5,36.4,34.5,36.4,34651.0
2015-12-22,38.2,38.2,34.6,34.6,26674.0
2015-12-23,32.9,33.35,32.9,33.0,10767.0
2015-12-24,31.35,32.55,31.35,31.35,4794.0
2015-12-28,30.0,30.0,29.8,29.8,1396.0
2015-12-29,28.35,28.35,28.35,28.35,12575.0
2015-12-30,26.95,26.95,26.95,26.95,4709.0
2015-12-31,25.65,25.65,25.65,25.65,1116.0
2016-01-01,24.4,26.9,24.4,26.9,11572.0
2016-01-04,28.2,28.2,25.75,27.75,1332.0
2016-01-05,29.1,29.1,28.0,29.0,11899.0
2016-01-06,29.5,29.5,28.0,29.0,6312.0
2016-01-07,28.9,29.0,27.55,27.7,2925.0
2016-01-08,28.4,28.4,26.35,26.35,881.0
2016-01-11,26.85,27.65,25.1,27.6,1302.0
2016-01-12,28.9,28.9,27.0,27.0,925.0
2016-01-13,28.3,28.3,25.65,27.9,1445.0
2016-01-14,26.55,28.0,26.55,26.55,1720.0
2016-01-15,25.25,25.25,25.25,25.25,338.0
2016-01-18,24.0,25.9,24.0,25.9,1972.0
2016-01-19,25.9,25.9,24.65,24.65,2137.0
2016-01-20,23.45,23.45,23.45,23.45,263.0
2016-01-21,23.45,23.45,22.3,22.3,107.0
2016-01-22,21.2,21.2,21.2,21.2,1548.0
2016-01-25,22.15,22.15,20.15,21.85,262.0
2016-01-27,20.8,22.5,20.8,22.5,551.0
2016-01-28,21.4,23.4,21.4,23.4,7.0
2016-01-29,24.3,24.3,22.25,24.0,250.0
2016-02-01,24.0,24.0,24.0,24.0,4.0
2016-02-03,22.8,22.8,22.8,22.8,60.0
2016-02-04,23.9,23.9,22.8,22.8,50.0
2016-02-05,22.8,22.8,20.55,21.05,818.0
2016-02-08,21.05,23.05,18.95,23.0,167.0
2016-02-10,20.75,20.75,20.75,20.75,250.0
2016-02-11,18.7,22.7,18.7,19.35,1955.0
2016-02-12,21.25,21.25,17.45,17.45,501.0
2016-02-15,17.5,17.5,15.75,15.8,1149.0
2016-02-16,15.05,16.55,15.05,16.55,1016.0
2016-02-17,17.35,17.35,15.75,17.1,59.0
2016-02-18,17.95,17.95,17.7,17.75,628.0
2016-02-19,18.5,18.5,17.5,17.5,6.0
2016-02-22,18.35,18.35,16.65,17.6,1843.0
2016-02-23,18.25,18.25,16.75,16.75,1761.0
2016-02-24,16.9,16.9,15.95,15.95,182.0
2016-02-25,16.45,16.45,15.2,15.2,102.0
2016-02-26,14.45,15.95,14.45,14.65,327.0
2016-02-29,13.95,13.95,13.95,13.95,120.0
2016-03-01,13.3,14.5,13.3,13.7,444.0
2016-03-02,13.05,14.3,13.05,13.05,1036.0
2016-03-03,12.4,13.65,12.4,12.4,973.0
2016-03-04,11.8,13.0,11.8,11.8,2406.0
2016-03-08,12.35,12.35,11.8,12.35,363.0
2016-03-09,12.95,12.95,12.95,12.95,10.0
2016-03-10,13.5,13.55,13.5,13.5,260.0
2016-03-11,13.45,14.15,12.85,12.85,687.0
2016-03-14,12.9,12.9,12.25,12.25,140.0
2016-03-15,12.8,12.8,12.25,12.25,281.0
2016-03-16,12.25,12.25,12.25,12.25,306.0
2016-03-17,12.25,12.25,12.25,12.25,50.0
2016-03-18,12.25,12.3,12.25,12.25,907.0
2016-03-21,12.25,12.25,12.25,12.25,94.0
2016-03-22,12.85,12.85,12.5,12.5,140.0
2016-03-23,13.1,13.1,13.1,13.1,1.0
2016-03-28,12.8,12.8,12.5,12.5,2894.0
2016-03-30,12.1,12.1,12.0,12.0,147.0
2016-03-31,12.0,12.55,11.5,12.55,2191.0
2016-04-04,12.55,12.55,12.0,12.1,420.0
2016-04-05,12.1,12.1,12.0,12.0,300.0
2016-04-06,12.0,12.0,12.0,12.0,426.0
2016-04-11,12.0,12.0,12.0,12.0,356.0
2016-04-12,12.05,12.05,12.05,12.05,200.0
2016-04-13,12.05,12.05,12.05,12.05,100.0
2016-04-18,12.65,12.65,12.65,12.65,10.0
2016-04-20,13.25,13.25,13.25,13.25,10.0
2016-04-21,13.9,13.9,13.9,13.9,85.0
2016-04-22,14.55,14.55,14.55,14.55,10.0
2016-04-26,15.25,15.25,13.85,15.25,194.0
2016-04-27,16.0,16.0,16.0,16.0,1020.0
2016-04-28,16.8,16.8,16.8,16.8,10.0
2016-04-29,17.6,17.6,17.5,17.6,237.0
2016-05-02,18.45,18.45,18.4,18.45,625.0
2016-05-03,19.35,19.35,19.35,19.35,175.0
2016-05-04,20.3,20.3,20.3,20.3,71.0
2016-05-05,21.3,21.3,21.3,21.3,6.0
2016-05-06,22.35,22.35,22.35,22.35,7.0
2016-05-09,23.45,23.45,21.5,23.45,1215.0
2016-05-10,23.45,23.45,22.5,22.5,551.0
2016-05-11,21.5,21.5,21.4,21.4,1329.0
2016-05-12,20.5,21.4,20.5,20.5,546.0
2016-05-13,19.5,19.5,19.5,19.5,25.0
2016-05-16,18.55,18.55,18.55,18.55,76.0
2016-05-17,17.65,17.65,17.65,17.65,20.0
2016-05-19,18.5,18.5,16.8,16.8,550.0
2016-05-23,16.0,16.0,16.0,16.0,50.0
2016-05-24,15.2,15.2,15.2,15.2,102.0
2016-05-26,15.5,15.5,15.5,15.5,50.0
2016-05-27,16.25,16.25,16.25,16.25,100.0
2016-05-30,17.05,17.05,17.05,17.05,601.0
2016-06-01,17.9,17.9,17.9,17.9,100.0
2016-06-02,17.8,17.8,17.8,17.8,20.0
2016-06-06,18.65,18.65,18.65,18.65,125.0
2016-06-08,19.55,19.55,19.55,19.55,291.0
2016-06-09,20.5,20.5,20.5,20.5,96.0
2016-06-10,21.5,21.5,21.5,21.5,600.0
2016-06-13,22.55,22.55,22.55,22.55,50.0
2016-06-14,23.65,23.65,23.65,23.65,330.0
2016-06-15,24.8,24.8,23.5,23.5,500.0
2016-06-16,22.35,24.4,22.35,23.5,1906.0
2016-06-17,22.5,24.0,22.35,24.0,692.0
2016-06-21,23.0,23.0,23.0,23.0,10.0
2016-06-24,22.0,22.0,22.0,22.0,100.0
2016-06-27,20.9,21.8,20.9,20.9,605.0
2016-06-29,21.9,21.9,19.9,19.9,228.0
2016-06-30,18.95,20.1,18.95,20.1,504.0
2016-07-01,21.0,21.0,19.1,21.0,986.0
2016-07-04,21.75,21.95,20.5,20.5,1100.0
2016-07-05,20.15,21.5,20.1,20.1,932.0
2016-07-08,21.0,21.0,20.0,20.0,150.0
2016-07-11,19.05,20.95,19.0,20.95,1151.0
2016-07-12,21.9,21.9,19.95,21.5,908.0
2016-07-13,20.45,22.45,20.45,22.0,766.0
2016-07-14,22.0,22.0,21.0,21.0,1015.0
2016-07-15,19.95,22.0,19.95,21.7,2303.0
2016-07-20,22.0,22.0,20.95,20.95,65.0
2016-07-21,20.0,20.0,19.95,19.95,600.0
2016-07-22,20.9,20.9,20.9,20.9,50.0
2016-07-25,19.9,20.85,19.9,20.85,95.0
2016-07-26,19.85,20.95,19.85,20.95,205.0
2016-07-27,20.9,20.9,20.9,20.9,1000.0
2016-08-05,20.1,20.25,20.1,20.25,1440.0
2016-08-08,19.45,19.45,19.45,19.45,707.0
2016-08-09,20.35,20.35,20.35,20.35,100.0
2016-08-11,19.35,19.35,19.35,19.35,100.0
2016-08-16,18.4,20.2,18.4,20.2,500.0
2016-08-18,20.2,20.95,19.2,20.5,351.0
2016-08-24,19.5,19.5,19.5,19.5,79.0
2016-08-25,18.55,18.55,18.55,18.55,165.0
2016-08-26,17.65,17.65,17.65,17.65,120.0
2016-08-29,16.8,17.0,16.8,17.0,600.0
2016-08-30,16.35,16.35,16.3,16.3,12050.0
2016-08-31,15.5,17.1,15.5,17.0,2321.0
2016-09-01,16.15,17.7,16.15,16.3,7875.0
2016-09-02,17.1,17.1,17.1,17.1,1.0
