Date,Open,High,Low,Close,Volume
2017-06-27,257.0,271.4,257.0,263.5,13384596.0
2017-06-28,265.0,273.9,263.75,269.35,1421224.0
2017-06-29,269.95,279.5,267.0,275.45,817704.0
2017-06-30,279.0,312.0,276.0,302.5,2717341.0
2017-07-03,303.5,310.75,295.25,302.75,715808.0
2017-07-04,300.25,309.75,297.7,304.75,574673.0
2017-07-05,300.15,304.8,299.0,301.5,245988.0
2017-07-06,299.1,324.8,299.1,318.5,1424441.0
2017-07-07,317.9,365.75,312.1,346.85,3189181.0
2017-07-10,350.0,373.5,344.9,367.3,764396.0
2017-07-11,369.15,377.0,330.5,343.3,2079413.0
2017-07-12,345.05,346.05,319.0,339.7,1287537.0
2017-07-13,341.8,348.4,324.05,331.3,685743.0
2017-07-14,331.9,336.0,291.5,312.15,1166541.0
2017-07-17,311.9,338.0,299.0,326.85,1034632.0
2017-07-18,326.9,341.4,321.25,327.7,732388.0
2017-07-19,328.9,352.8,325.1,349.2,1057372.0
2017-07-20,350.5,366.9,338.15,350.75,1025376.0
2017-07-21,351.1,354.2,338.6,348.3,491580.0
2017-07-24,345.0,348.1,334.9,339.2,241909.0
2017-07-25,340.1,344.9,332.0,335.7,205099.0
2017-07-26,338.0,338.9,322.0,329.05,416023.0
2017-07-27,331.8,333.0,320.0,327.15,165253.0
2017-07-28,327.0,343.0,323.0,334.15,257005.0
2017-07-31,337.0,345.8,330.0,336.75,148384.0
2017-08-01,337.15,342.9,328.75,331.15,87577.0
2017-08-02,333.7,333.7,327.5,330.9,60574.0
2017-08-03,331.0,355.0,331.0,340.25,1037797.0
2017-08-04,341.45,359.5,341.45,349.65,636449.0
2017-08-07,348.0,351.0,332.65,337.55,162797.0
2017-08-08,337.85,344.7,324.2,332.45,150621.0
2017-08-09,330.0,331.05,319.4,325.05,111095.0
2017-08-10,329.9,329.9,299.0,318.15,172024.0
2017-08-11,312.0,338.8,305.0,330.8,219783.0
2017-08-14,332.0,334.4,322.25,325.6,113518.0
2017-08-16,326.15,332.7,323.05,326.8,106916.0
2017-08-17,328.0,354.8,327.2,342.85,513794.0
2017-08-18,340.0,340.45,332.1,334.15,73556.0
2017-08-21,335.2,344.5,325.25,327.05,92036.0
2017-08-22,332.65,335.0,325.1,327.4,60472.0
2017-08-23,329.95,332.0,324.1,325.9,61931.0
2017-08-24,330.7,335.45,328.3,329.75,96728.0
2017-08-28,335.0,336.3,329.05,330.6,59175.0
2017-08-29,328.0,336.4,323.6,331.1,102147.0
2017-08-30,336.7,343.0,332.45,340.3,171176.0
2017-08-31,340.0,359.0,336.0,348.4,249643.0
2017-09-01,343.0,351.55,341.0,341.7,74775.0
2017-09-04,342.8,348.5,333.7,337.75,86429.0
2017-09-05,340.95,347.4,336.2,339.35,103520.0
2017-09-06,336.0,340.7,333.0,334.7,66883.0
2017-09-07,338.0,339.0,330.0,331.45,68414.0
2017-09-08,333.95,339.8,333.15,337.5,140726.0
2017-09-11,339.8,352.25,339.2,347.15,466158.0
2017-09-12,348.95,359.7,345.0,348.4,493143.0
2017-09-13,349.85,350.2,339.95,340.35,68174.0
2017-09-14,342.9,344.7,334.35,339.0,94592.0
2017-09-15,340.8,354.4,335.1,341.9,365840.0
2017-09-18,342.0,345.65,335.1,335.95,107732.0
2017-09-19,337.95,340.3,334.75,335.3,78916.0
2017-09-20,335.65,338.6,330.0,330.45,56980.0
2017-09-21,333.8,334.8,326.5,327.35,52295.0
2017-09-22,329.95,329.95,312.5,316.8,117264.0
2017-09-25,310.05,315.5,301.1,302.8,490930.0
2017-09-26,302.6,323.0,302.6,321.85,124885.0
2017-09-27,325.9,330.0,283.2,309.9,177822.0
2017-09-28,310.0,311.1,295.85,300.5,92031.0
2017-09-29,304.95,304.95,295.0,296.6,274612.0
2017-10-03,300.0,302.6,288.0,291.7,136389.0
2017-10-04,295.0,315.5,292.0,305.9,159797.0
2017-10-05,308.2,311.8,298.05,309.1,91105.0
2017-10-06,314.0,314.0,301.1,304.5,136163.0
2017-10-09,302.6,309.85,301.0,302.2,74553.0
2017-10-10,301.1,308.8,301.1,305.75,72616.0
2017-10-11,307.0,307.3,295.55,299.15,43942.0
2017-10-12,298.7,301.45,295.4,297.55,58486.0
2017-10-13,299.95,299.95,292.0,295.25,72082.0
2017-10-16,297.0,310.8,295.95,303.05,459964.0
2017-10-17,305.7,310.0,301.0,304.35,56810.0
2017-10-18,300.0,308.3,300.0,303.15,51052.0
2017-10-19,302.15,305.0,299.0,301.7,20277.0
2017-10-23,302.0,307.5,298.15,304.45,98952.0
2017-10-24,307.0,310.0,302.4,307.9,91421.0
2017-10-25,312.0,334.9,307.8,320.85,811042.0
2017-10-26,333.0,335.9,324.25,326.5,330564.0
2017-10-27,326.0,332.5,320.1,324.75,182491.0
2017-10-30,320.05,331.0,320.0,322.5,71541.0
2017-10-31,322.15,329.5,320.1,326.15,100771.0
2017-11-01,322.0,390.0,322.0,374.55,1111507.0
2017-11-02,378.8,390.0,365.1,383.4,613202.0
2017-11-03,385.1,390.0,376.0,380.95,325787.0
2017-11-06,377.5,380.0,368.65,371.05,85286.0
2017-11-07,371.05,374.95,351.05,367.1,158038.0
2017-11-08,367.0,369.6,355.1,358.75,119858.0
2017-11-09,357.1,367.7,353.0,360.0,132871.0
2017-11-10,360.0,405.0,357.0,384.65,478398.0
2017-11-13,395.0,408.9,387.65,396.45,312104.0
2017-11-14,399.4,400.0,388.65,392.55,146097.0
2017-11-15,391.95,410.0,381.1,391.55,265169.0
2017-11-16,392.2,424.0,387.3,412.85,577915.0
2017-11-17,414.7,429.0,408.1,412.2,424713.0
2017-11-20,412.2,423.8,401.0,405.65,322448.0
2017-11-21,404.9,412.9,397.0,400.6,135281.0
2017-11-22,402.0,405.0,392.25,397.9,89309.0
2017-11-23,400.0,422.4,397.15,404.7,241365.0
2017-11-24,406.0,406.7,393.0,395.85,138947.0
2017-11-27,395.8,409.95,395.75,402.2,186705.0
2017-11-28,402.2,415.0,400.0,407.4,118978.0
2017-11-29,405.2,412.4,400.85,403.3,66222.0
2017-11-30,402.6,425.55,402.55,420.65,607716.0
2017-12-01,423.8,429.9,401.0,404.15,195857.0
2017-12-04,408.2,413.9,395.1,399.95,335170.0
2017-12-05,398.8,402.0,395.55,399.8,142264.0
2017-12-06,401.8,401.8,390.2,393.1,42783.0
2017-12-07,398.0,409.65,396.0,399.75,208734.0
2017-12-08,401.2,412.55,395.05,396.45,190136.0
2017-12-11,399.65,400.95,398.05,399.95,112432.0
2017-12-12,403.0,410.0,395.05,397.4,124816.0
2017-12-13,395.0,400.45,381.5,387.25,150990.0
2017-12-14,392.0,395.3,385.1,394.95,96762.0
2017-12-15,397.5,400.0,392.55,394.15,102875.0
2017-12-18,398.5,398.5,380.05,389.85,132666.0
2017-12-19,392.0,393.0,386.05,389.65,125684.0
2017-12-20,390.9,405.0,386.55,397.7,108131.0
2017-12-21,400.0,402.0,384.85,387.9,229021.0
2017-12-22,389.8,391.4,383.0,389.75,167981.0
2017-12-26,391.0,395.0,383.0,389.0,137548.0
2017-12-27,386.5,392.0,384.1,386.1,448058.0
2017-12-28,389.75,395.0,383.05,388.0,93958.0
2017-12-29,388.25,405.0,386.5,395.4,576936.0
2018-01-01,400.0,427.8,400.0,423.8,570026.0
2018-01-02,424.9,433.0,411.95,415.85,259259.0
2018-01-03,419.8,429.0,406.0,417.65,111842.0
2018-01-04,420.95,425.0,408.8,422.9,209387.0
2018-01-05,422.9,449.7,418.05,434.85,435438.0
2018-01-08,435.0,445.0,425.0,426.55,208174.0
2018-01-09,427.85,472.0,426.0,445.3,878187.0
2018-01-10,447.45,455.9,438.0,441.9,220090.0
2018-01-11,443.3,446.0,435.1,438.7,177564.0
2018-01-12,441.35,442.4,430.1,434.8,82233.0
2018-01-15,436.4,444.0,434.05,439.45,134385.0
2018-01-16,440.0,442.45,421.1,429.25,102000.0
2018-01-17,425.0,431.4,410.1,424.8,114777.0
2018-01-18,425.1,453.45,421.1,431.5,318990.0
2018-01-19,434.9,434.9,400.0,404.25,364862.0
2018-01-22,405.0,405.0,385.1,391.3,185546.0
2018-01-23,392.0,400.0,390.1,391.4,89064.0
2018-01-24,391.35,403.0,378.05,400.4,321535.0
2018-01-25,400.0,408.15,395.0,401.3,85257.0
2018-01-29,403.55,408.8,395.1,399.05,259444.0
2018-01-30,395.0,396.6,381.25,391.1,35303.0
2018-01-31,385.1,394.6,370.5,378.65,59325.0
2018-02-01,383.0,401.0,380.0,399.1,160235.0
2018-02-02,387.55,399.0,376.45,384.4,86054.0
2018-02-05,380.0,386.95,351.05,383.15,282220.0
2018-02-06,369.75,377.35,355.0,370.4,172155.0
2018-02-07,373.6,378.3,371.05,375.5,56446.0
2018-02-08,375.1,377.75,368.6,371.0,152377.0
