Date,Open,High,Low,Close,Volume
2020-03-16,661.0,755.0,656.0,681.4,60893377.0
2020-03-17,691.0,747.95,689.0,730.9,15147702.0
2020-03-18,752.1,769.0,680.0,689.2,8950986.0
2020-03-19,660.0,717.0,650.0,692.05,6432291.0
2020-03-20,706.25,730.0,690.25,724.5,6492749.0
2020-03-23,659.0,698.0,580.0,582.4,6260568.0
2020-03-24,620.0,623.95,575.05,613.7,4019346.0
2020-03-25,601.0,648.9,591.4,624.95,3488027.0
2020-03-26,634.0,693.8,621.45,650.95,4360649.0
2020-03-27,675.0,690.0,650.0,655.9,3114721.0
2020-03-30,640.0,642.7,607.0,615.35,1791951.0
2020-03-31,635.0,638.0,608.55,618.65,2334681.0
2020-04-01,624.0,624.0,601.25,608.05,1501066.0
2020-04-03,613.8,614.7,588.0,590.25,1693653.0
2020-04-07,605.0,611.0,582.0,586.05,3137486.0
2020-04-08,584.8,598.4,576.0,579.5,3091087.0
2020-04-09,585.05,614.25,575.0,595.2,6139709.0
2020-04-13,580.0,581.5,501.1,505.5,22874756.0
2020-04-15,510.0,524.45,502.0,504.65,8436966.0
2020-04-16,505.0,537.2,501.0,532.1,8012609.0
2020-04-17,546.0,548.8,523.0,530.5,6750064.0
2020-04-20,534.75,548.9,528.5,540.1,5766967.0
2020-04-21,528.9,534.9,518.0,525.9,3249487.0
2020-04-22,527.0,535.7,520.1,532.4,2719280.0
2020-04-23,539.0,574.0,535.0,560.95,4983406.0
2020-04-24,557.7,596.45,552.1,557.85,7824080.0
2020-04-27,563.7,575.0,542.85,552.7,3306453.0
2020-04-28,556.0,562.45,547.45,550.9,1975826.0
2020-04-29,555.4,584.0,548.4,577.5,6121364.0
2020-04-30,591.0,604.9,585.0,599.15,6038342.0
2020-05-04,566.2,578.0,566.2,568.45,2066389.0
2020-05-05,577.75,584.3,550.6,553.0,2247828.0
2020-05-06,557.0,569.0,542.0,565.65,2356415.0
2020-05-07,563.0,579.0,558.9,574.45,2201886.0
2020-05-08,585.0,586.0,548.6,561.95,5125026.0
2020-05-11,552.0,561.0,543.0,548.5,2746769.0
2020-05-12,542.0,548.35,530.2,543.1,2115701.0
2020-05-13,570.0,570.55,545.25,548.3,2376132.0
2020-05-14,543.0,545.75,537.1,538.65,1456710.0
2020-05-15,542.0,544.0,535.25,539.45,1044907.0
2020-05-18,540.0,540.0,526.0,528.9,1212873.0
2020-05-19,535.0,540.0,529.15,537.65,1329780.0
2020-05-20,537.0,548.0,534.6,536.75,1142416.0
2020-05-21,539.4,546.8,536.15,542.35,1181475.0
