Date,Open,High,Low,Close,Volume
2021-11-08,150.0,157.75,150.0,157.65,280452.0
2021-11-09,161.8,165.5,152.0,158.3,148381.0
2021-11-10,152.15,161.0,150.4,151.55,43215.0
2021-11-11,153.05,153.05,145.5,147.95,30594.0
2021-11-12,148.75,151.55,144.9,148.55,19337.0
2021-11-15,141.2,141.2,141.15,141.15,10018.0
2021-11-16,134.1,141.9,134.1,134.1,72074.0
2021-11-17,140.5,140.8,127.65,139.6,40129.0
2021-11-18,144.0,144.0,132.65,136.5,25573.0
2021-11-22,139.95,139.95,130.0,130.9,12130.0
2021-11-23,124.4,137.4,124.4,137.25,17538.0
2021-11-24,135.35,139.6,134.45,136.05,5718.0
2021-11-25,137.0,137.0,132.75,134.0,8614.0
2021-11-26,130.85,135.7,127.3,129.2,29775.0
2021-11-29,132.2,132.2,122.75,122.8,22505.0
2021-11-30,125.5,128.5,122.1,124.15,9385.0
2021-12-01,125.8,125.8,118.55,122.3,8298.0
2021-12-02,122.95,128.4,122.3,128.1,6615.0
2021-12-03,128.6,134.5,128.15,133.6,17384.0
2021-12-06,139.0,140.25,127.9,135.95,32933.0
2021-12-07,138.75,140.05,129.8,136.3,18716.0
2021-12-08,141.95,141.95,128.3,129.7,16848.0
2021-12-09,130.0,132.0,126.5,127.25,14207.0
2021-12-10,129.8,129.8,122.9,127.3,8547.0
2021-12-13,134.8,135.0,127.5,127.8,24821.0
2021-12-14,130.0,132.0,125.1,127.95,17379.0
2021-12-15,127.95,128.65,126.0,128.25,27144.0
2021-12-16,126.0,130.5,123.8,125.3,14376.0
2021-12-17,127.95,127.95,113.6,118.05,24095.0
2021-12-20,117.75,124.0,107.25,121.15,21023.0
2021-12-21,118.2,128.9,118.2,126.5,19840.0
2021-12-22,128.9,137.0,126.4,127.4,21521.0
2021-12-23,129.8,133.0,122.6,128.75,6759.0
2021-12-24,134.8,137.95,130.05,133.6,38209.0
2021-12-27,133.6,137.95,130.95,136.2,8300.0
2021-12-28,136.5,136.5,128.15,131.85,7922.0
2021-12-29,128.7,137.15,128.7,136.1,15443.0
2021-12-30,145.1,149.1,136.55,144.7,68592.0
2021-12-31,150.5,153.0,141.0,144.5,70917.0
2022-01-03,150.0,158.95,144.0,157.4,192604.0
2022-01-04,158.0,162.4,154.0,156.7,75559.0
2022-01-05,159.0,159.0,146.7,149.25,31546.0
2022-01-06,150.9,151.95,144.7,148.3,27146.0
2022-01-07,147.0,151.6,141.3,146.9,49859.0
2022-01-10,149.0,149.8,144.15,147.2,10991.0
2022-01-11,152.0,152.0,144.65,148.7,12009.0
2022-01-12,148.0,150.9,145.5,147.8,22074.0
2022-01-13,147.6,149.75,142.5,144.35,7923.0
2022-01-14,144.4,148.0,143.35,145.75,8568.0
2022-01-17,151.8,153.0,144.8,145.75,14320.0
2022-01-18,145.75,147.95,142.0,143.0,9801.0
2022-01-19,141.95,144.8,141.4,143.5,9141.0
2022-01-20,143.4,145.55,138.05,139.3,13018.0
2022-01-21,145.95,145.95,138.1,139.7,12560.0
2022-01-24,137.0,139.35,125.75,132.05,30116.0
2022-01-25,130.0,131.75,125.1,126.1,24049.0
2022-01-27,121.1,135.0,121.1,124.6,27312.0
2022-01-28,128.15,132.2,125.6,129.1,23193.0
2022-01-31,136.9,142.0,131.9,141.9,50060.0
