Date,Open,High,Low,Close,Volume
2007-11-23,62.6,67.0,52.0,55.3,11385373.0
2007-11-26,58.0,58.0,52.2,53.25,812619.0
2007-11-27,52.0,53.0,48.35,49.0,476815.0
2007-11-28,49.8,50.0,46.1,46.7,367810.0
2007-11-29,47.85,48.4,46.25,46.55,150107.0
2007-11-30,46.75,48.4,45.05,46.35,169589.0
2007-12-03,47.4,47.9,45.25,46.6,131176.0
2007-12-04,47.1,50.0,46.65,49.35,353393.0
2007-12-05,49.5,53.5,48.55,51.15,375782.0
2007-12-06,52.4,53.35,50.5,51.0,160638.0
2007-12-07,52.0,53.5,51.2,51.75,197521.0
2007-12-10,52.5,52.5,50.5,51.0,68063.0
2007-12-11,51.7,52.7,50.5,51.4,104427.0
2007-12-12,50.2,55.9,50.1,54.9,333308.0
2007-12-13,55.5,56.45,54.0,54.3,154025.0
2007-12-14,54.0,56.1,54.0,54.45,315583.0
2007-12-17,54.45,58.0,53.1,54.25,347719.0
2007-12-18,54.1,54.6,52.0,52.75,69611.0
2007-12-19,53.9,54.0,52.55,52.8,65056.0
2007-12-20,53.1,53.15,51.5,52.15,53886.0
2007-12-24,53.75,53.75,51.0,51.9,33637.0
2007-12-26,51.3,52.4,51.3,51.9,49619.0
2007-12-27,52.1,52.65,51.65,52.25,39690.0
2007-12-28,51.55,54.0,51.5,52.4,71167.0
2007-12-31,53.8,62.9,52.55,62.9,518166.0
2008-01-01,60.1,67.8,58.1,62.25,720460.0
2008-01-02,63.0,63.95,60.5,63.05,346828.0
2008-01-03,65.0,65.0,61.6,61.85,226888.0
2008-01-04,63.0,63.9,60.75,61.5,241036.0
2008-01-07,60.5,62.5,60.2,60.6,216907.0
2008-01-08,61.6,61.6,60.55,60.7,191278.0
2008-01-09,60.1,60.1,57.9,59.0,139189.0
2008-01-10,59.5,60.6,56.55,57.1,77286.0
2008-01-11,56.0,61.0,55.0,59.45,111510.0
2008-01-14,60.5,63.75,59.1,61.55,166076.0
2008-01-15,62.9,64.0,61.1,61.45,139381.0
2008-01-16,60.0,61.5,59.5,60.8,68262.0
2008-01-17,61.5,61.85,60.3,60.65,37345.0
2008-01-18,59.0,60.9,55.75,57.3,82888.0
2008-01-21,50.2,59.0,47.0,50.05,76205.0
2008-01-22,47.55,49.8,40.5,43.8,11359.0
2008-01-23,49.9,49.9,44.05,49.1,24909.0
2008-01-24,53.95,55.0,44.0,45.05,34831.0
2008-01-25,45.1,49.0,44.3,48.7,20005.0
2008-01-28,46.1,53.8,46.1,52.25,14447.0
2008-01-29,53.0,54.0,50.85,51.95,24172.0
2008-01-30,50.15,52.0,49.1,50.25,15569.0
2008-01-31,50.0,50.9,47.5,49.5,12680.0
2008-02-01,47.55,50.0,47.5,48.9,5803.0
2008-02-04,48.6,52.9,48.6,52.35,29803.0
2008-02-05,52.7,53.9,50.1,51.75,7916.0
2008-02-06,49.5,51.8,49.5,50.5,5495.0
2008-02-07,50.0,54.0,49.6,50.55,35324.0
2008-02-08,51.4,51.4,47.1,48.15,10937.0
2008-02-11,49.9,49.9,45.0,45.85,11859.0
2008-02-12,45.1,48.75,41.2,42.65,12659.0
2008-02-13,37.2,45.4,37.2,42.9,6654.0
2008-02-14,44.9,44.9,43.0,44.0,5618.0
2008-02-15,43.25,45.4,42.8,44.65,6589.0
2008-02-18,43.2,45.5,43.2,45.0,6186.0
2008-02-19,45.9,46.0,44.1,44.7,8016.0
2008-02-20,43.5,45.3,43.15,43.75,3345.0
2008-02-21,44.4,44.8,42.1,43.75,7417.0
2008-02-22,42.1,43.8,42.1,43.25,4982.0
2008-02-25,43.2,43.2,42.2,43.0,11956.0
2008-02-26,44.5,44.8,43.7,44.2,6466.0
2008-02-27,44.0,45.8,44.0,44.35,6080.0
2008-02-28,43.25,44.05,43.25,43.6,4561.0
2008-02-29,44.5,44.9,43.05,43.55,3000.0
2008-03-03,42.0,42.9,41.5,41.75,20545.0
2008-03-04,39.7,42.5,38.6,39.05,20046.0
2008-03-05,39.1,40.0,38.0,39.0,5887.0
2008-03-07,37.1,38.75,35.0,35.25,10744.0
2008-03-10,35.0,35.4,33.1,34.85,6802.0
2008-03-11,35.0,40.0,34.15,39.65,18954.0
2008-03-12,40.85,41.9,38.0,38.45,6730.0
2008-03-13,38.2,38.5,36.55,37.0,9065.0
2008-03-14,37.2,37.95,37.1,37.1,3304.0
2008-03-17,36.0,37.5,31.0,33.3,9020.0
2008-03-18,31.65,35.0,29.0,30.5,9394.0
2008-03-19,32.9,34.9,29.6,31.65,13251.0
2008-03-24,30.0,31.5,27.0,27.6,7694.0
2008-03-25,29.0,29.0,28.05,28.7,5359.0
2008-03-26,29.9,30.5,28.75,29.65,20119.0
2008-03-27,29.0,30.4,28.35,29.8,20439.0
2008-03-28,31.4,34.8,30.25,33.05,12036.0
2008-03-31,32.5,34.5,31.3,32.85,11979.0
2008-04-01,32.3,33.9,31.6,32.7,6013.0
2008-04-02,32.65,35.5,32.6,33.9,6172.0
2008-04-03,34.85,34.85,31.6,32.2,9060.0
2008-04-04,31.6,32.4,30.5,31.1,2351.0
2008-04-07,30.45,36.5,30.45,32.35,4642.0
2008-04-08,31.1,33.0,31.1,31.55,4228.0
2008-04-09,32.8,32.85,31.55,32.4,3173.0
2008-04-10,31.45,33.9,31.4,32.95,11061.0
2008-04-11,33.7,33.75,32.65,32.65,1309.0
2008-04-15,32.65,38.5,32.45,34.05,11407.0
2008-04-16,34.55,35.8,33.25,34.25,13420.0
2008-04-17,34.9,35.8,34.0,34.9,9817.0
2008-04-21,35.9,36.3,35.05,35.7,10100.0
2008-04-22,35.85,35.85,34.2,35.35,2180.0
2008-04-23,34.65,37.0,34.65,36.4,15100.0
2008-04-24,37.9,37.9,36.0,36.95,8018.0
2008-04-25,37.0,37.0,34.5,34.9,12691.0
2008-04-28,36.9,38.0,35.75,36.75,22376.0
2008-04-29,37.0,37.0,35.5,35.75,6821.0
2008-04-30,36.35,37.5,36.0,36.2,18154.0
2008-05-02,36.5,37.0,35.55,36.0,9089.0
2008-05-05,36.8,36.8,36.0,36.15,8068.0
2008-05-06,36.05,36.4,35.6,35.8,5197.0
2008-05-07,35.6,36.9,35.0,35.35,5175.0
2008-05-08,35.0,37.75,33.65,36.95,29249.0
2008-05-09,37.5,42.5,37.4,39.25,98420.0
2008-05-12,39.9,41.0,37.5,38.3,24521.0
2008-05-13,39.9,39.9,38.1,38.35,9039.0
2008-05-14,38.0,38.05,37.4,37.8,6126.0
2008-05-15,36.25,37.6,36.25,37.2,3566.0
2008-05-16,36.5,37.9,36.4,36.8,5483.0
2008-05-20,36.3,38.25,36.25,37.05,5943.0
2008-05-21,36.35,37.7,36.35,37.15,2596.0
2008-05-22,36.55,38.0,36.55,37.75,8497.0
2008-05-23,37.15,38.45,37.15,37.75,2527.0
2008-05-26,38.25,38.4,36.6,37.15,4894.0
2008-05-27,37.1,37.45,36.9,37.2,3772.0
2008-05-28,37.35,37.35,36.4,37.0,5218.0
2008-05-29,36.05,37.6,36.05,37.25,4902.0
2008-05-30,36.8,37.1,36.55,36.6,2691.0
2008-06-02,36.35,36.6,36.05,36.4,2194.0
2008-06-03,35.5,35.8,35.0,35.25,5420.0
2008-06-04,36.0,36.9,34.5,34.65,7906.0
2008-06-05,34.1,35.4,34.05,35.1,2327.0
2008-06-06,34.05,35.45,33.8,34.5,4925.0
2008-06-09,33.0,34.4,32.0,32.95,3251.0
2008-06-10,33.0,33.0,31.0,32.5,14776.0
2008-06-11,33.9,33.9,32.0,33.1,6151.0
2008-06-12,31.7,32.95,31.7,32.7,1177.0
2008-06-13,33.4,33.4,32.8,33.1,1991.0
2008-06-16,32.55,33.9,32.2,33.5,3936.0
2008-06-17,33.25,33.7,33.25,33.5,1022.0
2008-06-18,34.0,34.85,33.15,33.35,4916.0
2008-06-19,32.55,33.45,32.55,33.4,7420.0
2008-06-20,32.7,33.6,32.5,32.85,3238.0
2008-06-23,31.6,32.0,31.0,31.65,7901.0
2008-06-24,31.1,32.7,31.1,31.7,3764.0
2008-06-25,31.9,32.5,31.5,31.8,4615.0
2008-06-26,31.75,32.0,31.75,31.8,543.0
2008-06-27,31.95,32.25,31.25,32.0,3188.0
2008-06-30,31.15,31.95,31.0,31.3,3456.0
2008-07-01,31.45,31.45,30.1,30.35,3293.0
2008-07-02,29.1,30.0,28.0,29.95,3029.0
2008-07-03,30.3,30.5,29.4,30.0,1332.0
2008-07-04,29.2,30.3,29.05,29.95,4490.0
2008-07-07,30.4,30.4,29.6,30.1,4344.0
2008-07-08,29.65,31.3,29.25,30.55,4884.0
2008-07-09,30.5,31.45,30.5,31.0,7140.0
2008-07-10,31.0,32.95,30.5,31.8,15027.0
2008-07-11,31.5,32.4,31.5,31.8,2821.0
2008-07-14,31.5,32.5,31.5,31.65,9949.0
2008-07-15,31.3,32.3,31.3,31.7,1857.0
2008-07-16,31.95,32.5,31.4,32.05,5914.0
2008-07-17,30.9,30.9,29.55,30.0,4897.0
2008-07-18,29.65,30.2,28.6,29.0,3876.0
2008-07-21,28.05,29.55,28.05,29.4,1657.0
2008-07-22,29.25,29.75,28.6,29.25,926.0
2008-07-23,29.0,30.4,29.0,29.85,12829.0
2008-07-24,30.05,30.5,29.5,29.55,16991.0
2008-07-25,28.5,29.5,28.5,29.45,3348.0
2008-07-28,29.9,29.9,29.15,29.75,2971.0
2008-07-29,29.0,29.75,29.0,29.4,2557.0
2008-07-30,29.15,29.95,29.15,29.55,504.0
2008-07-31,29.55,29.7,29.0,29.55,5641.0
2008-08-01,29.05,29.8,29.0,29.75,5475.0
2008-08-04,29.7,30.75,29.0,29.95,4250.0
2008-08-05,30.45,31.45,29.45,30.9,9270.0
2008-08-06,30.95,31.9,30.9,31.25,4930.0
2008-08-07,31.0,31.35,30.5,30.95,2234.0
2008-08-08,29.55,30.95,29.1,30.7,5126.0
2008-08-11,31.0,32.0,30.9,31.3,10477.0
2008-08-12,31.2,31.9,31.15,31.25,3324.0
2008-08-13,31.85,32.0,30.85,31.65,3580.0
2008-08-14,32.1,32.1,30.85,31.4,1709.0
2008-08-18,31.4,31.7,30.0,30.65,2140.0
2008-08-19,30.35,30.85,30.0,30.05,3072.0
2008-08-20,30.5,31.0,30.1,30.6,2581.0
2008-08-21,30.3,30.6,30.25,30.25,1747.0
2008-08-22,29.75,30.9,29.75,30.25,3020.0
2008-08-25,29.5,30.75,29.5,30.1,1215.0
2008-08-26,30.0,30.5,29.85,30.0,2573.0
2008-08-27,29.5,31.0,29.35,30.45,11471.0
2008-08-28,30.05,30.5,29.5,29.7,3138.0
2008-08-29,30.0,30.35,29.6,29.95,5680.0
2008-09-01,30.0,30.4,29.4,29.8,2786.0
2008-09-02,29.7,30.4,29.65,29.85,892.0
2008-09-04,29.6,30.35,29.5,30.15,2701.0
2008-09-05,29.5,30.6,29.1,30.5,4716.0
2008-09-08,30.15,31.45,30.05,30.75,26748.0
2008-09-09,30.3,31.0,29.05,30.3,27568.0
2008-09-10,30.0,30.3,29.7,30.1,27381.0
2008-09-11,29.65,30.6,29.5,29.85,2003.0
2008-09-12,29.65,30.0,29.2,29.8,1724.0
2008-09-15,29.6,29.6,28.5,28.6,7674.0
2008-09-16,27.5,28.4,27.0,28.25,9027.0
2008-09-17,29.0,29.0,28.05,28.05,2971.0
2008-09-18,28.0,28.2,26.8,27.35,1905.0
2008-09-19,27.65,28.9,27.5,28.3,3507.0
2008-09-22,22.65,28.0,22.65,27.7,5368.0
2008-09-23,27.45,28.4,27.45,28.3,1100.0
2008-09-24,28.5,28.5,27.0,27.35,1897.0
2008-09-25,27.05,28.9,27.05,28.9,135.0
2008-09-26,28.0,28.85,25.7,27.65,791.0
2008-09-29,25.5,28.85,25.25,26.0,2238.0
2008-09-30,25.05,26.3,24.55,25.35,8690.0
2008-10-01,25.0,26.8,25.0,25.6,2262.0
2008-10-03,25.5,26.9,25.5,26.9,3163.0
2008-10-06,27.0,27.0,24.6,24.6,1230.0
2008-10-07,25.9,25.9,23.9,24.0,5265.0
2008-10-08,23.5,24.0,21.1,22.5,3504.0
2008-10-10,21.9,22.5,18.0,20.1,7113.0
2008-10-13,21.05,23.55,21.05,22.05,2123.0
2008-10-14,22.3,24.8,22.3,24.6,676.0
2008-10-15,23.5,23.5,22.35,22.4,1177.0
2008-10-16,22.05,22.5,20.55,22.05,5295.0
2008-10-17,22.0,22.85,19.0,20.55,2971.0
2008-10-20,21.8,21.8,16.45,20.55,2115.0
2008-10-21,22.5,24.3,19.05,20.0,2456.0
2008-10-22,19.6,20.7,19.5,20.55,2050.0
2008-10-23,18.55,19.95,18.55,19.0,1731.0
2008-10-24,15.2,19.5,15.2,17.25,5081.0
2008-10-27,13.9,17.5,13.9,15.1,7446.0
2008-10-28,14.5,16.0,14.05,15.1,8239.0
2008-10-29,14.05,15.55,14.05,14.8,3022.0
2008-10-31,15.0,15.95,14.6,15.15,5929.0
2008-11-03,12.75,17.0,12.75,16.7,3019.0
2008-11-04,15.5,18.2,14.55,17.95,4986.0
2008-11-05,19.0,19.0,17.7,17.75,2913.0
2008-11-06,16.25,17.45,16.25,17.4,700.0
2008-11-07,16.5,17.4,15.55,17.3,817.0
2008-11-10,17.0,18.5,17.0,17.1,527.0
2008-11-11,17.5,18.85,16.0,16.85,1841.0
2008-11-12,16.0,17.55,15.6,16.25,2358.0
2008-11-14,16.25,17.35,16.25,16.45,332.0
2008-11-17,16.5,17.4,16.2,17.0,6746.0
2008-11-18,16.5,17.0,14.9,15.2,38884.0
2008-11-19,15.0,15.2,14.4,15.2,27063.0
2008-11-20,14.9,14.95,13.15,14.4,3632.0
2008-11-21,11.55,14.5,11.55,13.8,26302.0
2008-11-24,14.0,14.0,13.0,13.6,358.0
2008-11-25,14.7,14.7,13.4,13.45,3723.0
2008-11-26,13.5,13.9,13.1,13.9,670.0
2008-11-28,13.9,13.9,12.85,13.5,2045.0
2008-12-01,14.2,14.2,13.25,13.4,6246.0
2008-12-02,13.1,16.0,13.1,13.4,2359.0
2008-12-03,13.5,13.5,13.25,13.3,202.0
2008-12-04,13.1,13.6,13.1,13.6,1237.0
2008-12-05,13.5,14.45,13.35,14.05,14140.0
2008-12-08,13.05,14.25,13.05,13.7,4217.0
2008-12-10,13.25,14.0,13.0,13.35,21713.0
2008-12-11,12.6,13.7,12.6,13.7,4810.0
2008-12-12,13.55,14.1,13.35,13.95,7427.0
2008-12-15,14.0,14.7,13.75,14.2,14711.0
2008-12-16,14.7,17.0,14.7,15.3,12951.0
2008-12-17,16.0,16.0,13.6,14.4,24898.0
2008-12-18,13.5,14.7,13.5,14.1,3573.0
2008-12-19,14.1,14.55,14.1,14.25,3595.0
2008-12-22,14.3,14.5,13.05,14.1,2818.0
2008-12-23,14.05,14.35,13.0,13.2,76378.0
2008-12-24,13.1,13.9,12.9,13.45,20452.0
2008-12-26,13.1,13.5,13.1,13.25,1102.0
2008-12-29,13.1,13.45,12.6,13.45,2484.0
2008-12-30,13.0,13.5,12.85,13.15,13042.0
2008-12-31,13.2,13.5,13.0,13.0,23461.0
2009-01-01,13.35,13.75,13.0,13.4,12283.0
2009-01-02,13.9,14.55,13.05,13.5,19310.0
2009-01-05,14.0,14.0,13.6,13.9,9500.0
2009-01-06,14.45,14.5,13.75,14.25,18421.0
2009-01-07,13.95,14.0,13.15,13.5,9742.0
2009-01-09,12.6,13.3,12.55,13.0,9670.0
2009-01-12,13.35,13.35,12.95,13.2,3580.0
2009-01-13,13.05,13.35,13.0,13.0,2325.0
2009-01-14,13.0,13.0,13.0,13.0,650.0
2009-01-15,10.5,13.35,10.5,12.95,1975.0
2009-01-16,12.7,13.15,11.0,12.75,16678.0
2009-01-19,12.55,13.75,12.55,12.95,6397.0
2009-01-20,13.0,13.05,13.0,13.05,300.0
2009-01-21,13.15,13.2,12.8,13.0,3651.0
2009-01-22,13.0,13.0,12.7,12.75,3200.0
2009-01-23,12.65,13.25,12.65,12.65,1520.0
2009-01-27,13.0,13.0,12.75,12.75,1060.0
2009-01-28,12.0,13.25,12.0,12.6,450.0
2009-01-29,12.75,12.75,12.55,12.55,2025.0
2009-01-30,10.1,12.95,10.1,12.3,2150.0
2009-02-02,12.5,12.75,12.2,12.75,102.0
2009-02-03,12.5,15.3,12.5,13.1,5359.0
2009-02-04,12.8,13.0,12.3,12.6,6716.0
2009-02-05,13.55,13.55,12.4,12.65,4014.0
2009-02-06,12.55,14.9,12.55,13.85,2202.0
2009-02-09,13.0,13.45,12.9,13.25,4765.0
2009-02-10,13.4,13.45,13.0,13.4,2101.0
2009-02-11,13.45,14.25,13.35,14.05,5558.0
2009-02-12,14.0,14.0,14.0,14.0,379.0
2009-02-13,13.75,14.35,13.3,13.55,3554.0
2009-02-16,13.7,14.4,13.1,13.15,2243.0
2009-02-17,12.55,13.5,12.55,13.5,172.0
2009-02-18,13.05,13.65,13.05,13.55,795.0
2009-02-19,13.1,13.9,13.1,13.7,599.0
2009-02-20,13.85,13.85,12.85,12.9,913.0
2009-02-24,12.25,14.35,12.25,13.1,3257.0
2009-02-25,13.0,13.25,12.7,12.7,1598.0
2009-02-26,12.6,13.75,12.6,13.15,1003.0
2009-02-27,12.6,13.2,11.0,12.85,13360.0
2009-03-02,13.0,13.4,12.5,12.9,2046.0
2009-03-03,12.5,13.05,12.3,12.9,15685.0
2009-03-04,14.5,14.5,12.65,12.7,1101.0
2009-03-05,13.3,13.3,12.55,13.0,10022.0
2009-03-06,12.5,12.95,12.25,12.4,1456.0
2009-03-09,12.4,12.4,12.0,12.2,7471.0
