Date,Open,High,Low,Close,Volume
2022-09-29,85.7,86.45,83.5,84.11,9215.0
2022-09-30,84.01,85.19,83.05,85.06,14976.0
2022-10-03,84.81,85.39,83.3,84.31,8134.0
2022-10-04,85.1,85.96,84.45,85.3,5140.0
2022-10-06,85.7,86.89,85.51,86.4,1710.0
2022-10-07,88.99,88.99,86.0,86.94,1280.0
2022-10-10,86.93,86.94,84.8,86.46,18068.0
2022-10-11,86.31,86.79,82.04,84.19,3571.0
2022-10-12,84.61,87.0,84.61,85.77,3466.0
2022-10-13,86.9,86.91,85.41,85.52,2269.0
2022-10-14,86.0,87.5,85.3,85.61,5321.0
2022-10-17,88.17,88.17,85.41,86.25,13956.0
2022-10-18,86.74,87.75,86.56,86.94,18741.0
2022-10-19,87.19,91.1,86.96,87.17,25472.0
2022-10-20,86.9,88.44,86.6,88.0,1185.0
2022-10-21,90.64,90.64,87.17,87.63,1825.0
2022-10-24,87.5,92.0,86.9,89.16,465.0
2022-10-25,88.7,89.0,87.68,87.79,852.0
2022-10-27,88.0,89.0,87.2,88.25,10265.0
2022-10-28,88.39,89.0,88.39,88.51,8116.0
2022-10-31,89.59,89.59,87.82,88.38,76975.0
2022-11-01,88.99,91.61,88.99,91.06,9454.0
2022-11-02,90.81,90.81,89.95,90.13,9326.0
2022-11-03,89.99,90.49,89.92,90.19,2479.0
2022-11-04,90.9,90.9,89.27,90.59,6385.0
2022-11-07,91.39,95.0,90.21,92.79,2818.0
2022-11-09,95.57,95.57,90.21,90.53,5710.0
2022-11-10,95.0,95.0,89.71,89.72,1356.0
2022-11-11,89.72,95.0,89.72,91.23,9596.0
2022-11-14,91.39,92.3,91.03,91.8,3912.0
2022-11-15,91.4,91.84,90.41,91.32,1685.0
2022-11-16,91.2,92.26,89.25,89.61,3072.0
2022-11-17,92.29,92.29,90.2,91.27,4403.0
2022-11-18,91.39,91.58,90.13,91.29,2478.0
2022-11-21,93.0,93.0,90.63,90.81,1699.0
2022-11-22,90.8,91.5,90.0,91.5,1433.0
2022-11-23,90.0,92.6,90.0,90.4,505.0
2022-11-24,93.0,93.0,90.94,92.31,5590.0
2022-11-25,92.31,92.95,91.74,92.78,4217.0
2022-11-28,92.89,93.0,92.16,92.99,4871.0
2022-11-29,92.9,93.78,92.21,92.69,3019.0
2022-11-30,92.99,93.49,91.7,93.21,5465.0
2022-12-01,94.0,94.8,92.3,94.46,7378.0
2022-12-02,94.69,96.0,93.21,94.85,6024.0
2022-12-05,96.0,96.0,93.21,93.54,4768.0
2022-12-06,93.99,95.5,93.51,95.05,4011.0
2022-12-07,94.39,94.99,92.55,93.12,3196.0
2022-12-08,93.21,96.0,93.21,94.92,866.0
2022-12-09,96.85,96.85,92.61,93.78,783.0
2022-12-12,92.0,94.84,92.0,92.92,1337.0
2022-12-13,92.07,94.7,92.07,94.03,1943.0
2022-12-14,94.5,95.95,93.25,94.5,1421.0
2022-12-15,94.5,94.65,92.9,93.9,1306.0
2022-12-16,93.9,94.8,92.0,92.36,657.0
2022-12-19,93.5,94.1,90.5,91.36,1847.0
2022-12-20,92.0,92.0,90.13,90.6,2372.0
2022-12-21,92.45,92.45,91.0,92.16,173.0
2022-12-22,90.8,91.99,90.18,91.85,970.0
2022-12-23,91.1,91.24,88.92,89.31,2544.0
2022-12-26,89.89,90.49,89.52,89.9,4116.0
2022-12-27,90.2,90.69,90.05,90.1,1690.0
2022-12-28,91.9,91.9,90.01,91.82,2595.0
2022-12-29,91.8,92.0,89.3,89.45,604.0
2022-12-30,90.2,98.71,89.65,93.01,1443.0
2023-01-02,92.7,93.5,89.92,90.94,2367.0
2023-01-03,91.99,92.29,90.3,91.86,7779.0
2023-01-04,91.41,92.0,89.18,89.57,1865.0
2023-01-05,90.8,92.0,89.9,90.02,349.0
2023-01-06,90.5,92.09,90.16,90.76,176.0
2023-01-09,91.0,91.95,91.0,91.95,871.0
2023-01-10,91.95,94.0,90.4,91.92,2063.0
2023-01-11,90.94,92.58,90.87,91.71,578.0
2023-01-12,92.01,92.21,90.0,90.48,191.0
2023-01-13,91.0,93.49,90.83,92.32,361.0
2023-01-16,94.0,94.0,91.2,92.27,1986.0
2023-01-17,91.25,97.5,91.25,93.73,18768.0
2023-01-18,92.73,95.5,92.73,95.03,1818.0
2023-01-19,96.0,96.0,92.95,93.24,2572.0
2023-01-20,93.21,93.99,92.61,92.82,177.0
2023-01-23,94.7,95.2,93.0,94.62,2584.0
2023-01-24,94.01,94.79,93.2,93.51,679.0
2023-01-25,93.0,95.09,93.0,94.57,902.0
2023-01-27,95.9,95.9,92.0,92.97,1275.0
2023-01-30,92.0,95.25,92.0,93.04,1020.0
2023-01-31,92.0,94.7,92.0,94.0,702.0
2023-02-01,92.5,94.5,92.5,94.5,402.0
2023-02-02,94.5,99.0,94.5,98.08,4165.0
2023-02-03,98.15,98.15,94.7,97.78,2806.0
2023-02-06,95.6,96.01,93.3,94.36,1336.0
2023-02-07,96.0,96.0,93.78,94.0,1055.0
2023-02-08,96.0,96.5,94.25,96.12,1068.0
2023-02-09,95.0,96.46,94.4,94.86,676.0
2023-02-10,97.23,97.23,94.19,94.34,3691.0
2023-02-13,96.25,96.25,93.5,95.14,2206.0
2023-02-14,95.14,95.99,93.51,93.78,1880.0
2023-02-15,95.0,96.0,94.13,95.5,1176.0
2023-02-16,95.72,98.0,95.72,97.44,1233.0
2023-02-17,97.44,98.0,95.0,97.12,347.0
2023-02-20,96.0,97.8,95.55,95.69,749.0
2023-02-21,95.7,96.5,95.34,95.78,1396.0
2023-02-22,97.7,97.7,94.07,94.07,1838.0
2023-02-23,94.58,96.0,94.5,95.8,421.0
2023-02-24,94.5,96.02,93.4,94.3,3071.0
2023-02-27,94.4,94.4,92.05,92.59,1310.0
2023-02-28,92.6,93.5,92.45,93.25,1362.0
2023-03-01,93.5,94.6,92.22,94.51,3368.0
2023-03-02,92.15,94.05,92.1,92.78,11042.0
2023-03-03,93.5,93.99,93.0,93.05,2123.0
2023-03-06,92.0,94.3,92.0,94.25,5205.0
2023-03-08,94.49,94.99,93.61,93.65,580.0
2023-03-09,95.47,95.47,93.8,94.4,439.0
2023-03-10,93.87,94.58,92.47,94.45,1645.0
2023-03-13,92.76,94.75,92.51,92.87,4040.0
2023-03-14,92.71,92.99,92.24,92.69,1164.0
2023-03-15,92.8,92.8,90.8,91.89,1157.0
2023-03-16,91.89,92.3,91.0,92.27,2774.0
2023-03-17,91.99,92.49,91.71,91.99,529.0
2023-03-20,93.6,93.6,90.02,90.63,1909.0
2023-03-21,91.0,92.5,91.0,92.27,329.0
2023-03-22,92.0,92.51,89.8,90.24,11827.0
2023-03-23,88.9,91.49,88.9,90.3,636.0
2023-03-27,92.0,92.0,90.0,91.17,365.0
2023-03-28,91.0,92.0,90.25,91.81,13044.0
2023-03-29,92.0,92.0,90.31,90.93,35023.0
2023-03-31,93.2,93.2,91.21,93.02,990.0
2023-04-03,94.0,95.0,91.82,94.5,3653.0
2023-04-05,94.25,94.25,92.4,93.91,744.0
2023-04-06,94.9,94.9,92.7,93.2,727.0
2023-04-10,93.2,95.0,92.82,94.92,6042.0
2023-04-11,95.85,95.85,93.08,94.87,9295.0
2023-04-12,94.46,95.0,93.81,94.97,2788.0
2023-04-13,94.27,94.27,93.0,93.0,785.0
2023-04-17,93.0,93.0,90.9,91.99,8239
2023-04-18,92.0,92.29,91.26,91.32,3328
2023-04-19,91.41,91.99,90.51,91.02,3248
2023-04-20,91.11,91.69,90.55,90.61,684
2023-04-21,91.5,91.5,90.5,91.5,2614
2023-04-24,91.11,92.15,91.11,92.14,573
2023-04-25,91.2,92.49,91.2,91.51,983
2023-04-26,91.51,92.77,91.5,92.43,8504
2023-04-27,92.49,92.99,92.01,92.97,131
2023-04-28,92.99,93.06,92.16,92.97,1159
2023-05-02,94.85,95.09,93.0,95.0,2594
2023-05-03,94.46,95.0,93.81,94.86,13622
2023-05-04,95.8,95.8,93.6,94.0,61803
2023-05-05,94.11,94.92,93.91,94.34,1502
2023-05-08,97.35,97.35,94.05,95.8,1470
2023-05-09,95.57,95.69,94.4,94.4,250
2023-05-10,96.3,96.3,94.31,94.57,946
2023-05-11,95.0,95.0,94.41,94.41,398
2023-05-12,94.5,95.02,94.0,94.99,1216
2023-05-15,96.25,96.25,94.47,94.57,1896
2023-05-16,95.0,95.25,94.37,94.68,325
2023-05-17,94.2,94.2,93.65,93.83,353
2023-05-18,94.26,94.8,93.5,93.52,2447
2023-05-19,93.75,94.0,93.51,93.6,918
2023-05-22,95.94,95.94,94.0,94.93,4797
