Date,Open,High,Low,Close,Volume
2003-01-01,39.0,39.05,39.0,39.05,300.0
2003-01-02,39.25,39.25,38.5,38.55,450.0
2003-01-03,39.15,39.7,38.45,38.55,1400.0
2003-01-06,38.5,39.2,38.1,39.0,860.0
2003-01-07,38.95,38.95,38.25,38.25,2.0
2003-01-08,38.3,38.35,38.0,38.05,862.0
2003-01-09,38.1,38.5,38.1,38.5,191.0
2003-01-10,37.7,38.0,37.7,37.8,650.0
2003-01-13,37.6,38.55,37.35,37.7,1367.0
2003-01-14,37.75,37.75,37.75,37.75,337.0
2003-01-15,38.0,38.0,37.75,38.0,1757.0
2003-01-16,38.25,38.5,38.0,38.0,902.0
2003-01-17,38.0,38.0,37.75,37.95,1901.0
2003-01-20,37.6,37.6,37.6,37.6,136.0
2003-01-21,39.9,39.9,36.3,37.05,1001.0
2003-01-22,36.65,37.4,36.0,36.75,1568.0
2003-01-23,38.0,38.0,36.15,36.5,650.0
2003-01-24,37.6,37.9,36.25,36.25,1050.0
2003-01-27,39.0,39.0,36.0,36.15,1720.0
2003-01-28,37.5,37.5,35.25,36.95,503.0
2003-01-29,36.9,36.9,35.7,35.75,827.0
2003-01-30,35.0,35.9,35.0,35.15,892.0
2003-01-31,34.65,36.9,34.65,36.0,2155.0
2003-02-03,35.5,36.4,35.25,35.75,640.0
2003-02-04,34.0,38.5,34.0,36.25,912.0
2003-02-05,36.25,36.25,35.5,36.05,165.0
2003-02-06,36.0,36.0,35.65,35.65,250.0
2003-02-07,35.45,35.45,35.45,35.45,100.0
2003-02-10,36.8,36.8,34.9,35.15,1200.0
2003-02-11,34.1,35.35,34.1,35.35,1100.0
2003-02-12,35.1,36.15,34.0,34.0,2295.0
2003-02-14,34.0,34.0,33.15,33.15,1225.0
2003-02-17,33.5,34.65,33.5,34.0,4202.0
2003-02-18,35.0,37.4,34.0,34.1,2579.0
2003-02-19,33.75,35.15,33.75,33.85,375.0
2003-02-20,35.9,35.9,34.1,34.7,1151.0
2003-02-21,34.0,35.5,33.9,34.85,1152.0
2003-02-24,34.6,35.4,34.25,34.9,552.0
2003-02-25,34.6,34.8,33.5,34.0,2976.0
2003-02-26,34.9,34.9,33.9,33.95,600.0
2003-02-27,34.0,34.7,34.0,34.45,1106.0
2003-02-28,34.8,34.8,34.3,34.3,900.0
2003-03-03,34.55,35.7,33.7,34.1,1014.0
2003-03-04,34.0,34.05,32.85,33.8,672.0
2003-03-05,33.5,33.5,32.2,32.25,1198.0
2003-03-06,31.75,31.75,31.5,31.5,775.0
2003-03-07,31.5,31.5,30.3,31.0,2027.0
2003-03-10,30.25,32.3,30.25,31.3,5226.0
2003-03-11,31.15,31.15,31.1,31.1,525.0
2003-03-12,31.0,31.0,30.1,30.5,352.0
2003-03-13,29.5,31.25,29.5,30.4,1057.0
2003-03-17,30.2,30.2,28.9,29.15,1470.0
2003-03-19,29.5,29.5,28.3,29.3,2052.0
2003-03-20,28.5,29.15,27.35,29.0,1276.0
2003-03-21,27.0,29.4,27.0,29.4,1200.0
2003-03-22,28.5,28.5,28.1,28.45,1800.0
2003-03-24,27.5,29.7,27.5,27.5,2050.0
2003-03-25,27.5,30.25,27.5,29.75,7679.0
2003-03-26,28.25,28.85,28.25,28.85,447.0
2003-03-27,28.75,28.75,26.5,27.2,3951.0
2003-03-28,27.0,27.4,26.5,27.3,721.0
2003-03-31,26.8,27.4,26.7,27.2,15324.0
2003-04-01,26.15,26.6,26.1,26.6,214.0
2003-04-02,28.95,28.95,25.6,26.5,99.0
2003-04-03,28.0,28.15,27.3,27.55,1900.0
2003-04-04,27.8,29.9,27.5,27.85,1101.0
2003-04-07,27.25,27.8,26.95,27.45,6560.0
2003-04-08,27.7,27.75,27.7,27.75,654.0
2003-04-09,27.75,28.5,27.75,28.5,525.0
2003-04-10,26.75,27.45,26.2,26.35,3908.0
2003-04-11,26.55,27.45,26.55,26.55,250.0
2003-04-15,27.05,27.05,26.25,26.45,4927.0
2003-04-16,26.2,26.5,26.2,26.25,556.0
2003-04-17,26.3,26.3,26.3,26.3,152.0
2003-04-21,27.6,27.6,27.6,27.6,50.0
2003-04-22,27.5,27.5,26.25,26.95,850.0
2003-04-23,28.5,28.5,26.9,27.0,2750.0
2003-04-24,26.7,26.7,26.7,26.7,86.0
2003-04-25,27.05,27.05,25.1,25.75,2400.0
2003-04-28,25.25,26.55,25.25,25.75,475.0
2003-04-29,26.65,26.7,26.65,26.7,350.0
2003-04-30,26.8,26.8,24.5,24.6,5458.0
2003-05-02,24.9,27.0,24.9,27.0,6585.0
2003-05-05,27.1,28.8,27.1,28.7,1600.0
2003-05-06,28.6,28.65,27.15,28.0,1735.0
2003-05-07,28.8,28.8,28.0,28.6,675.0
2003-05-08,28.5,28.5,27.0,27.6,871.0
2003-05-09,28.35,28.8,27.55,28.65,2100.0
2003-05-12,28.15,31.55,28.15,31.55,6806.0
2003-05-13,33.95,34.0,32.35,33.0,6897.0
2003-05-14,33.4,33.8,31.5,32.15,7488.0
2003-05-15,32.0,33.0,31.15,32.95,5600.0
2003-05-16,33.2,33.2,32.0,32.0,929.0
2003-05-19,31.95,32.0,30.95,31.5,1970.0
2003-05-20,30.0,30.5,30.0,30.2,1025.0
2003-05-21,31.0,31.5,30.65,30.65,661.0
2003-05-22,31.45,32.9,30.5,31.0,5195.0
2003-05-23,32.0,32.0,31.05,31.55,1470.0
2003-05-26,32.15,34.75,32.15,34.75,15292.0
2003-05-27,35.0,36.75,35.0,35.5,5873.0
2003-05-28,36.25,36.5,35.25,36.2,4703.0
2003-05-29,36.25,37.0,36.0,36.05,2631.0
2003-05-30,37.0,37.0,35.2,35.35,1575.0
2003-06-02,35.9,36.65,35.2,36.4,4961.0
2003-06-03,36.75,36.75,35.5,35.9,3380.0
2003-06-04,37.95,37.95,36.0,36.0,3512.0
2003-06-05,36.1,36.65,35.0,35.2,6050.0
2003-06-06,35.25,36.55,35.05,35.05,700.0
2003-06-09,35.6,38.6,35.5,38.6,5875.0
2003-06-10,41.5,44.25,40.4,41.1,29549.0
2003-06-11,41.0,43.65,40.0,41.7,11454.0
2003-06-12,42.5,43.7,42.4,43.35,9616.0
2003-06-13,43.7,44.0,41.95,43.2,13850.0
2003-06-16,43.8,44.5,43.15,43.4,8367.0
2003-06-17,43.7,43.95,43.05,43.15,12927.0
2003-06-18,43.05,46.5,43.05,45.8,31594.0
2003-06-19,46.0,49.9,45.85,49.5,37865.0
2003-06-20,49.0,49.85,48.25,49.45,23065.0
2003-06-23,49.5,52.35,49.0,50.15,26831.0
2003-06-24,51.65,52.5,51.05,51.35,13611.0
2003-06-25,52.45,52.45,51.25,51.3,16394.0
2003-06-26,51.6,51.6,48.6,49.75,19565.0
2003-06-27,48.4,48.8,47.1,47.35,15579.0
2003-06-30,48.0,51.5,46.05,47.4,7685.0
2003-07-01,48.5,51.95,48.0,51.35,33754.0
2003-07-02,51.0,54.25,51.0,52.8,27982.0
2003-07-03,53.5,54.0,50.1,50.45,7452.0
2003-07-04,50.9,51.0,49.0,49.85,4168.0
2003-07-07,49.1,49.1,48.0,48.5,6188.0
2003-07-08,48.9,50.0,48.55,49.0,2847.0
2003-07-09,48.9,49.55,47.5,47.85,2574.0
2003-07-10,48.0,49.95,46.0,47.0,2686.0
2003-07-11,47.25,47.25,43.65,44.9,5505.0
2003-07-14,45.9,46.0,44.05,44.4,5064.0
2003-07-15,43.8,44.45,41.0,43.75,6304.0
2003-07-16,43.0,44.45,43.0,43.6,2050.0
2003-07-17,44.75,46.7,43.75,45.45,5817.0
2003-07-18,45.1,46.45,45.1,46.05,4168.0
2003-07-21,45.85,47.8,45.1,45.25,3993.0
2003-07-22,47.25,47.25,45.05,45.15,2292.0
2003-07-23,45.9,46.45,45.5,45.6,844.0
2003-07-24,46.0,46.0,45.2,45.2,2225.0
2003-07-25,47.9,47.9,45.3,46.4,2522.0
2003-07-28,48.0,48.0,46.4,46.6,3567.0
2003-07-29,46.8,47.75,46.5,47.15,3235.0
2003-07-30,45.75,47.7,45.75,47.15,3552.0
