Date,Open,High,Low,Close,Volume
2002-09-24,17.05,17.4,16.2,16.35,8206697.0
2002-09-25,16.25,16.25,15.8,16.05,1959835.0
2002-09-26,16.2,16.2,15.15,15.3,1270365.0
2002-09-27,15.5,15.6,15.15,15.35,1357003.0
2002-09-30,15.3,15.85,15.15,15.4,1475227.0
2002-10-01,15.4,15.6,15.3,15.5,339944.0
2002-10-03,15.6,15.6,15.4,15.45,138613.0
2002-10-04,15.45,15.5,15.35,15.4,157713.0
2002-10-07,15.25,15.6,15.25,15.55,179434.0
2002-10-08,15.6,15.6,15.15,15.2,249002.0
2002-10-09,15.25,15.4,15.0,15.0,408547.0
2002-10-10,15.05,15.1,14.85,14.95,147908.0
2002-10-11,15.0,15.0,14.75,14.95,267590.0
2002-10-14,15.0,15.0,14.75,14.8,173558.0
2002-10-16,14.75,14.95,14.7,14.75,206333.0
2002-10-17,14.65,14.9,14.6,14.75,202202.0
2002-10-18,14.8,15.65,14.7,15.2,700416.0
2002-10-21,15.25,15.35,15.0,15.0,66861.0
2002-10-22,15.0,15.1,14.9,14.95,105096.0
2002-10-23,15.0,15.25,14.85,15.1,91154.0
2002-10-24,15.0,15.45,14.95,15.05,573557.0
2002-10-25,15.2,15.7,15.1,15.3,1140336.0
2002-10-28,15.5,15.5,15.15,15.35,251903.0
2002-10-29,15.4,15.65,15.3,15.4,477498.0
2002-10-30,15.4,15.55,15.2,15.3,402321.0
2002-10-31,15.4,15.45,15.2,15.25,188728.0
2002-11-01,15.45,15.45,15.2,15.25,152135.0
2002-11-04,15.5,15.5,15.25,15.4,111000.0
2002-11-05,15.7,16.3,15.35,16.25,1346049.0
2002-11-07,15.5,16.4,15.5,16.05,451015.0
2002-11-08,15.95,16.05,15.8,15.95,171140.0
2002-11-11,16.1,16.1,15.75,15.85,76556.0
2002-11-12,15.9,15.95,15.6,15.75,101809.0
2002-11-13,15.8,15.8,15.6,15.75,87617.0
2002-11-14,15.65,16.3,15.65,15.85,462753.0
2002-11-15,15.9,16.05,15.8,15.95,200980.0
