Date,Open,High,Low,Close,Volume
2017-09-27,651.1,694.0,638.65,681.2,34610637.0
2017-09-28,671.15,689.95,660.05,685.9,4535542.0
2017-09-29,685.0,687.7,677.65,680.2,1367676.0
2017-10-03,677.1,688.45,674.1,684.5,1752630.0
2017-10-04,681.5,686.85,679.75,681.7,545357.0
2017-10-05,676.1,680.95,665.15,666.2,486144.0
2017-10-06,665.0,680.5,663.0,680.0,568793.0
2017-10-09,670.0,686.0,670.0,683.95,647645.0
2017-10-10,680.0,690.0,680.0,686.45,750266.0
2017-10-11,683.6,689.9,683.6,687.45,351011.0
2017-10-12,682.2,702.0,682.2,700.35,938808.0
2017-10-13,693.2,701.0,693.2,695.05,239411.0
2017-10-16,691.55,697.5,674.25,696.15,237478.0
2017-10-17,695.0,719.9,690.2,718.25,962237.0
2017-10-18,711.25,720.8,703.8,715.25,338460.0
2017-10-19,709.6,723.0,708.05,722.2,154703.0
2017-10-23,710.0,715.0,690.0,693.1,450439.0
2017-10-24,693.15,705.0,685.3,696.2,643340.0
2017-10-25,696.2,699.95,675.55,683.3,1108214.0
2017-10-26,679.1,690.0,679.1,684.95,221326.0
2017-10-27,682.0,685.0,679.05,682.9,342918.0
2017-10-30,679.9,686.0,675.75,680.2,287901.0
2017-10-31,675.15,689.0,674.5,677.0,949376.0
2017-11-01,677.0,686.0,676.9,680.6,200249.0
2017-11-02,675.15,689.0,675.0,681.0,234604.0
2017-11-03,681.0,689.5,671.0,674.6,302434.0
2017-11-06,671.0,684.25,671.0,681.15,186130.0
2017-11-07,680.0,682.95,679.2,680.3,171495.0
2017-11-08,674.1,682.5,674.1,678.8,105538.0
2017-11-09,675.3,681.0,667.65,678.8,120713.0
2017-11-10,670.0,680.95,670.0,680.3,114509.0
2017-11-13,680.5,687.0,676.2,685.45,274626.0
2017-11-14,676.0,690.0,676.0,686.0,208105.0
2017-11-15,677.1,688.0,677.1,686.4,439900.0
2017-11-16,682.5,685.95,670.0,677.75,164254.0
