Date,Open,High,Low,Close,Volume
2022-11-24,555.0,569.95,548.0,556.85,5863701.0
2022-11-25,560.0,597.0,560.0,567.5,1579954.0
2022-11-28,566.7,572.0,555.0,555.45,352849.0
2022-11-29,556.0,559.95,528.0,543.05,558162.0
2022-11-30,546.0,555.45,533.05,537.05,224303.0
2022-12-01,539.75,544.7,536.25,541.1,136774.0
2022-12-02,543.75,543.95,530.1,532.45,82293.0
2022-12-05,534.05,540.95,524.05,531.15,99495.0
2022-12-06,531.0,545.95,531.0,539.2,92535.0
2022-12-07,541.9,555.45,540.05,542.45,127726.0
2022-12-08,543.0,553.1,542.4,549.8,153510.0
2022-12-09,552.4,563.55,525.1,542.35,174456.0
2022-12-12,541.95,546.9,535.0,543.1,44914.0
2022-12-13,543.1,548.35,537.1,541.3,35400.0
2022-12-14,542.85,551.75,531.25,535.65,74468.0
2022-12-15,533.1,539.9,516.05,527.2,83762.0
2022-12-16,528.95,529.3,510.3,513.3,39355.0
2022-12-19,515.9,531.7,513.6,518.45,74992.0
2022-12-20,513.65,530.0,513.65,526.4,39583.0
2022-12-21,526.4,531.5,500.0,503.7,48830.0
2022-12-22,503.7,508.45,488.05,494.8,43043.0
2022-12-23,490.0,490.0,470.0,478.8,88798.0
2022-12-26,481.15,504.0,470.4,500.35,29657.0
2022-12-27,502.9,527.95,502.35,525.5,41321.0
2022-12-28,517.0,521.45,500.0,502.5,44717.0
2022-12-29,500.0,506.5,491.2,494.45,37341.0
2022-12-30,496.85,509.0,490.5,494.6,44788.0
2023-01-02,497.1,516.95,493.15,507.3,145054.0
2023-01-03,501.0,554.9,501.0,526.6,273958.0
2023-01-04,526.6,532.0,510.0,514.1,27369.0
2023-01-05,516.7,529.3,510.15,523.1,48679.0
2023-01-06,523.0,523.1,508.0,509.8,27431.0
2023-01-09,512.35,544.5,512.35,532.9,147337.0
2023-01-10,532.6,541.8,520.0,533.25,67605.0
2023-01-11,527.0,540.75,527.0,530.2,97818.0
2023-01-12,528.0,547.0,525.15,541.1,253525.0
2023-01-13,533.3,540.0,523.25,531.75,57259
2023-01-16,530.0,535.3,525.55,528.0,12408
2023-01-17,528.0,533.75,516.2,519.25,24102
2023-01-18,522.35,537.9,516.0,530.7,35693
2023-01-19,530.65,539.85,523.1,525.0,34625
2023-01-20,524.8,550.45,524.75,543.8,189689
2023-01-23,534.0,538.3,527.15,531.15,14422
2023-01-24,528.05,534.75,522.55,523.85,10121
2023-01-25,524.95,524.95,507.1,517.3,18481
2023-01-27,515.0,516.75,486.0,493.15,19045
2023-01-30,495.65,502.0,482.55,487.05,6951
2023-01-31,492.15,520.05,480.4,494.4,99578
2023-02-01,495.25,517.5,484.95,497.65,66511
2023-02-02,492.1,497.25,481.05,485.25,29825
2023-02-03,493.8,496.0,471.05,491.9,21104
2023-02-06,491.95,495.0,481.0,492.45,6949
2023-02-07,490.15,494.8,476.0,484.65,56392
2023-02-08,487.95,499.0,478.0,483.7,46474
2023-02-09,485.75,494.75,480.2,483.9,11808
2023-02-10,482.45,483.75,479.1,482.75,3965
2023-02-13,480.0,486.05,477.3,480.95,59082
2023-02-14,479.0,495.95,474.05,487.45,20821
2023-02-15,484.95,495.8,482.55,490.85,9896
2023-02-16,496.0,496.0,471.1,474.95,13946
2023-02-17,472.4,484.0,448.1,471.0,84344
2023-02-20,468.05,488.0,468.05,483.6,114034
2023-02-21,478.6,491.9,478.6,484.65,14969
2023-02-22,480.0,484.4,472.35,475.65,9029
2023-02-23,477.95,477.95,465.65,466.75,9171
2023-02-24,469.0,473.45,464.05,470.0,17979
2023-02-27,466.0,466.95,441.0,454.65,116462
2023-02-28,456.95,458.95,447.95,453.15,12679
2023-03-01,450.95,456.95,449.15,451.15,3310
2023-03-02,451.55,466.8,445.05,455.25,19539
2023-03-03,454.95,494.7,454.95,477.6,38655
2023-03-06,479.8,480.0,466.55,468.6,12749
