Date,Open,High,Low,Close,Volume
2021-12-14,600.0,615.0,565.55,583.55,13930950.0
2021-12-15,585.0,598.8,578.0,584.95,1337812.0
2021-12-16,586.0,594.5,566.1,570.9,664868.0
2021-12-17,570.8,578.95,564.95,568.75,664213.0
2021-12-20,555.0,560.65,542.6,551.55,790254.0
2021-12-21,552.0,578.4,552.0,574.65,571786.0
2021-12-22,570.0,588.95,570.0,580.5,302623.0
2021-12-23,580.5,587.0,570.05,576.1,205315.0
2021-12-24,574.1,577.3,565.6,571.4,148467.0
2021-12-27,563.1,572.95,563.1,571.45,218861.0
2021-12-28,572.0,578.0,567.0,572.05,235878.0
2021-12-29,570.1,602.05,568.2,583.15,373429.0
2021-12-30,580.15,605.0,580.15,585.75,637277.0
2021-12-31,587.95,606.0,585.0,588.5,383891.0
2022-01-03,595.0,642.5,592.05,632.75,1123074.0
2022-01-04,629.7,654.0,618.35,639.8,943975.0
2022-01-05,635.9,648.5,631.4,637.1,345322.0
2022-01-06,634.9,642.0,624.0,634.7,300674.0
2022-01-07,646.0,649.0,608.0,619.45,949045.0
2022-01-10,610.1,644.4,597.05,629.3,1185655.0
2022-01-11,629.7,640.75,619.0,626.0,378459.0
2022-01-12,630.7,634.9,610.1,618.45,161687.0
2022-01-13,623.45,627.9,613.8,619.9,353212.0
2022-01-14,623.9,629.0,616.55,622.95,166453.0
2022-01-17,628.5,638.05,616.1,619.0,269120.0
2022-01-18,626.0,630.05,610.0,613.5,154614.0
2022-01-19,613.0,621.0,599.7,610.85,145045.0
2022-01-20,605.1,626.4,602.75,605.05,309974.0
2022-01-21,596.0,620.9,595.95,603.1,212651.0
2022-01-24,604.9,608.3,571.0,580.05,317612.0
2022-01-25,580.0,600.8,574.25,592.45,150277.0
2022-01-27,590.0,599.0,582.8,593.7,49623.0
2022-01-28,596.9,610.95,590.0,594.2,98971.0
2022-01-31,599.65,604.0,581.0,584.5,200431.0
2022-02-01,589.0,598.0,580.0,589.1,140359.0
2022-02-02,591.1,601.0,589.1,593.45,67753.0
2022-02-03,589.25,595.95,586.35,587.0,40506.0
2022-02-04,588.0,590.05,574.0,587.5,66736.0
2022-02-07,587.0,589.65,580.0,583.4,37641.0
2022-02-08,583.0,590.0,570.15,583.15,102788.0
2022-02-09,586.0,591.0,570.0,581.85,134125.0
2022-02-10,583.0,607.75,582.15,605.7,193406.0
2022-02-11,612.95,613.8,550.0,591.8,186326.0
2022-02-14,575.4,585.95,554.5,568.7,231591.0
2022-02-15,566.0,592.4,557.25,586.15,294912.0
2022-02-16,585.0,591.5,570.1,571.75,63886.0
2022-02-17,573.0,578.0,562.0,572.85,134045.0
2022-02-18,567.1,573.3,560.2,566.2,110431.0
2022-02-21,559.8,568.15,556.0,563.2,81389.0
2022-02-22,550.1,564.0,546.1,560.45,141915.0
2022-02-23,557.1,572.4,556.4,560.9,21214.0
2022-02-24,550.85,556.65,542.05,551.4,159114.0
2022-02-25,555.0,564.9,555.0,559.8,128129.0
2022-02-28,559.8,561.45,554.05,559.0,27790.0
2022-03-02,554.1,565.0,552.1,555.7,39794.0
2022-03-03,555.0,566.9,555.0,562.3,37897.0
2022-03-04,554.0,564.65,554.0,556.9,30004.0
2022-03-07,555.0,561.2,552.0,559.15,35960.0
2022-03-08,556.1,601.8,556.1,583.65,221988.0
2022-03-09,590.5,590.5,572.4,584.5,108550.0
2022-03-10,589.75,590.0,570.0,578.1,78707.0
2022-03-11,580.0,584.0,570.75,572.85,137947.0
