Date,Open,High,Low,Close,Volume
2020-01-17,78.0,88.8,78.0,88.8,10184.0
2020-01-20,98.0,98.0,80.2,83.35,3897.0
2020-01-21,74.1,86.9,74.1,80.7,15091.0
2020-01-22,85.95,85.95,80.0,83.7,3306.0
2020-01-23,87.6,91.0,80.0,86.3,280.0
2020-01-24,90.0,91.0,76.05,90.3,5916.0
2020-01-27,94.0,94.0,79.7,90.9,5925.0
2020-01-28,84.1,91.9,84.1,87.4,1257.0
2020-01-29,86.95,90.5,86.1,87.9,45.0
2020-01-30,90.05,90.05,85.65,86.0,79.0
2020-01-31,86.0,91.0,86.0,90.0,1654.0
2020-02-03,84.0,84.1,84.0,84.1,4.0
2020-02-04,89.95,89.95,84.1,87.45,722.0
2020-02-05,91.5,91.5,85.5,87.75,790.0
2020-02-06,89.45,89.45,88.5,88.5,3.0
2020-02-07,85.1,88.45,77.05,82.25,1107.0
2020-02-10,89.6,89.6,76.25,80.0,1463.0
2020-02-11,80.0,85.0,80.0,83.5,130.0
2020-02-12,83.0,88.0,83.0,85.4,110.0
2020-02-13,87.65,87.9,86.9,87.9,71.0
2020-02-14,78.1,78.1,78.0,78.0,66.0
2020-02-17,88.0,89.8,77.65,79.35,410.0
2020-02-18,88.0,88.0,80.15,83.5,2151.0
2020-02-19,85.9,85.9,85.9,85.9,1.0
2020-02-20,79.0,85.0,78.3,83.75,127.0
2020-02-25,71.5,79.0,71.3,78.8,247.0
2020-02-26,78.7,87.8,72.75,75.25,1979.0
2020-02-27,75.3,78.0,75.3,75.6,33.0
2020-02-28,75.0,75.0,75.0,75.0,10.0
2020-03-02,73.0,73.0,70.8,71.95,34.0
2020-03-03,77.0,77.0,73.55,73.55,36.0
2020-03-04,75.0,78.0,72.0,73.9,2191.0
2020-03-05,72.0,72.5,70.1,70.25,741.0
2020-03-06,61.25,77.0,61.25,77.0,1061.0
2020-03-09,77.0,77.0,64.5,76.95,32.0
2020-03-11,64.4,64.4,64.4,64.4,1.0
2020-03-12,70.0,77.2,66.05,67.2,1853.0
2020-03-13,53.95,80.5,53.8,66.85,3673.0
2020-03-16,65.1,66.65,56.05,59.1,483.0
2020-03-17,60.0,69.85,49.15,57.25,977.0
2020-03-18,53.15,58.7,52.0,56.1,501.0
2020-03-19,50.55,55.95,50.25,55.6,2205.0
2020-03-20,55.4,61.0,53.7,59.65,572.0
2020-03-23,47.75,64.85,47.75,49.55,698.0
2020-03-24,48.0,50.0,48.0,50.0,19.0
2020-03-26,51.0,51.0,50.05,50.3,368.0
2020-03-27,50.3,50.3,45.55,50.1,128.0
2020-03-30,55.0,55.0,41.15,44.95,5907.0
2020-03-31,48.95,53.9,48.05,51.8,825.0
2020-04-01,51.75,51.75,51.7,51.7,2.0
2020-04-03,44.2,53.9,44.2,47.7,274.0
2020-04-07,57.1,57.1,42.2,52.0,789.0
2020-04-08,52.0,55.0,52.0,54.95,496.0
2020-04-09,54.95,64.9,54.95,61.15,658.0
2020-04-13,61.15,64.85,53.6,62.55,1951.0
2020-04-15,52.3,64.95,52.3,60.5,1375.0
2020-04-16,53.7,70.0,53.65,62.4,2722.0
2020-04-17,61.2,65.0,54.6,62.1,2891.0
2020-04-20,62.1,62.1,62.1,62.1,266.0
2020-04-21,61.0,61.0,57.0,57.3,190.0
2020-04-22,57.3,68.75,55.0,60.15,5026.0
2020-04-23,60.2,65.95,58.25,60.2,513.0
2020-04-24,59.0,66.1,53.25,58.1,1983.0
2020-04-27,62.0,62.0,59.0,60.15,63.0
2020-04-28,60.55,61.75,58.15,60.55,111.0
2020-04-29,59.0,62.45,55.85,60.1,227.0
2020-04-30,60.1,62.0,60.1,62.0,632.0
2020-05-04,59.0,62.4,53.55,59.7,1332.0
2020-05-05,58.0,61.5,56.0,57.6,597.0
2020-05-06,60.5,61.5,60.5,61.0,35.0
2020-05-07,59.0,60.95,55.65,57.4,353.0
2020-05-08,60.3,60.3,60.0,60.0,27.0
2020-05-11,60.8,60.8,55.55,59.2,490.0
2020-05-12,58.5,60.4,56.25,60.4,52.0
2020-05-13,60.4,60.4,55.1,56.0,4077.0
2020-05-14,56.0,56.0,52.5,52.75,1927.0
2020-05-15,55.0,55.0,51.7,52.05,854.0
2020-05-18,56.25,56.25,56.25,56.25,1.0
2020-05-19,61.95,61.95,47.35,50.75,1720.0
2020-05-20,54.0,60.9,51.0,60.9,8909.0
2020-05-21,73.05,73.05,68.0,73.05,59313.0
2020-05-22,73.05,86.4,73.05,81.05,167755.0
2020-05-26,81.05,81.1,72.95,72.95,34908.0
2020-05-27,72.95,76.0,69.35,74.8,4797.0
2020-05-28,71.1,71.25,71.1,71.1,1510.0
2020-05-29,67.55,68.0,67.55,67.55,1893.0
2020-06-01,67.0,67.0,64.2,64.2,3612.0
2020-06-02,61.0,64.0,61.0,61.0,5590.0
2020-06-03,57.95,57.95,57.95,57.95,4622.0
2020-06-04,55.1,60.5,55.1,58.1,9057.0
2020-06-05,58.85,58.85,56.0,57.1,2334.0
2020-06-08,57.1,58.0,54.95,55.75,4996.0
2020-06-09,53.5,58.5,53.0,56.15,6427.0
2020-06-10,56.15,56.15,53.35,55.0,1073.0
2020-06-11,55.0,55.5,53.2,54.85,1488.0
