Date,Open,High,Low,Close,Volume
2015-11-02,317.0,317.0,266.3,270.45,18353828.0
2015-11-03,274.0,284.85,272.15,276.25,4773563.0
2015-11-04,277.45,283.5,275.1,281.6,1853793.0
2015-11-05,280.95,281.4,276.0,277.0,785960.0
2015-11-06,279.0,279.0,270.0,271.05,521576.0
2015-11-09,266.5,276.0,253.6,273.9,603103.0
2015-11-10,276.1,280.5,267.8,269.8,564758.0
2015-11-11,273.9,275.6,273.0,273.55,89578.0
2015-11-13,271.5,271.95,263.5,265.8,264878.0
2015-11-16,266.0,274.7,260.05,268.05,534428.0
2015-11-17,270.1,274.4,264.55,265.55,354953.0
2015-11-18,265.9,267.7,260.25,261.3,236271.0
2015-11-19,263.0,263.75,259.25,260.55,269156.0
2015-11-20,261.6,266.0,258.5,259.15,251995.0
2015-11-23,260.0,267.5,257.5,264.85,413189.0
2015-11-24,265.8,270.0,262.05,266.4,298584.0
2015-11-26,268.4,269.4,264.0,266.3,172026.0
2015-11-27,267.0,267.05,257.15,258.25,644846.0
2015-11-30,259.8,261.75,254.0,255.35,447105.0
2015-12-01,255.75,264.4,255.5,257.75,578648.0
2015-12-02,258.5,262.0,256.25,257.5,195142.0
2015-12-03,258.4,264.9,257.5,261.85,426129.0
2015-12-04,260.1,261.35,253.2,254.8,192546.0
2015-12-07,256.7,258.85,252.5,253.25,112645.0
2015-12-08,257.0,267.5,255.0,257.25,1238319.0
2015-12-09,257.45,261.4,252.0,252.95,260920.0
2015-12-10,254.7,257.9,253.0,255.85,158434.0
2015-12-11,255.5,260.0,254.65,257.05,202076.0
2015-12-14,256.5,256.5,253.05,253.7,100567.0
2015-12-15,252.5,275.0,252.5,272.8,1537448.0
2015-12-16,275.0,278.4,269.85,270.25,377777.0
2015-12-17,271.95,284.9,270.5,283.3,1222779.0
2015-12-18,281.9,290.0,281.15,285.65,998753.0
2015-12-21,284.5,288.4,281.55,285.2,243332.0
2015-12-22,285.7,287.55,282.0,282.85,197449.0
2015-12-23,283.1,285.2,275.1,276.3,199786.0
2015-12-24,276.6,283.5,275.0,279.2,183806.0
2015-12-28,280.0,280.9,275.0,275.9,135546.0
2015-12-29,276.2,286.75,276.0,284.95,385285.0
2015-12-30,284.1,297.35,280.0,284.7,869774.0
2015-12-31,282.0,286.9,281.8,283.75,179009.0
2016-01-01,284.4,291.2,283.3,288.05,215725.0
2016-01-04,287.8,288.0,277.65,280.45,162531.0
2016-01-05,282.0,288.0,278.1,282.45,173477.0
2016-01-06,282.55,286.0,272.2,274.3,206553.0
2016-01-07,270.1,273.8,267.1,269.85,187070.0
2016-01-08,272.3,279.0,267.45,273.0,271414.0
2016-01-11,269.95,273.0,267.0,267.75,121689.0
2016-01-12,268.05,271.95,264.1,265.8,113798.0
2016-01-13,268.4,269.0,256.5,259.55,209649.0
2016-01-14,256.8,260.1,254.0,255.6,110285.0
2016-01-15,257.95,261.85,252.1,253.75,134162.0
2016-01-18,251.0,251.85,242.05,243.5,120840.0
2016-01-19,237.2,249.2,237.2,243.8,108272.0
